代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
4551,智伸科,151,151.5,151.5,-4.5,-2.88,737,41.09,232,0,-12,220,287,361,-74,-0.1,-361,0,0,0,361,0,0.48,136,137,-1,327,252,75,22.71,772.37,-1.25,18.38,8205.67,2.7,23.48,3.47,2.77,5.3,1526,11.52
4552,力達-KY,19.7,19.95,19.9,-0.1,-0.5,177,39.55,-15,0,-3,-18,0,0,0,0,0,0,0,0,0,0,0,0,40,-40,181,141,40,12.92,320.16,0.01,-5.71,3359.95,0.12,17.72,0.21,3.02,7.39,2144,11.6
4554,橙的,30.8,30.9,30.85,-0.05,-0.16,27,36,-2,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,23.91,55.64,11.41,22.14,504.45,0.04,38.79,0.21,6.48,0.87,57,2.63
4555,氣立,53.7,53.8,53.7,-2.5,-4.45,1659,31.76,-11,0,6,-5,138,105,33,0.02,-105,0,0,0,105,0,0.06,285,277,8,1257,1298,-41,233.48,161.96,20.68,9.69,1637.49,0.04,30.13,0.19,0.93,17.3,3027,7
4556,旭然,38.7,38.9,38.7,-1.1,-2.76,378,29.18,-8,0,0,-8,38,96,-58,-0.15,-96,0,0,0,96,0,0.25,43,22,21,300,263,37,37.57,59.24,2.33,-10.34,694.7,0.13,36.53,0.67,1.55,2.35,248,4.23
4557,永新-KY,43.05,43.3,43.05,-1.6,-3.58,315,20.63,-18,0,0,-18,0,0,0,0,0,0,0,0,0,0,0,38,54,-16,281,265,16,--,288.39,25.16,-29.11,3573.7,0.11,23,-0.2,4.65,3.19,382,4.8
4558,寶緯,19.85,19.95,20,0,0,60,30.51,-2,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,2000,252.97,107.2,84.83,1560.38,0.06,11.17,0.35,0,2.78,347,5
4560,強信-KY,32.65,32.7,32.65,0.15,0.46,118,50,1,0,13,14,0,0,0,0,0,0,0,0,0,0,0,19,20,-1,99,98,1,11.38,174.04,-2.67,14.39,1753.96,0.76,36.23,2.53,4.59,1.84,313,6.81
4561,健椿,48.75,48.8,48.8,-1.2,-2.4,1792,48.16,13,0,-5,8,115,93,22,0.01,115,115,0,0,0,0.06,0,254,273,-19,1434,1437,-3,76.25,129.67,37.42,23.25,967.56,0.25,23.03,1.08,0.41,11.63,1702,5.85
4562,穎漢,41.15,41.25,41.2,-1.7,-3.96,1573,34.68,-365,0,-1,-366,26,187,-161,-0.1,-187,0,0,0,187,0,0.12,151,182,-31,1409,1217,192,--,64.19,-11.85,10.03,706.97,0.11,40.69,1.04,0,13.31,2913,8.75
4563,百德,48.6,49.1,48.6,-1.6,-3.19,342,34.71,38,0,-33,5,0,0,0,0,0,0,0,0,0,0,0,21,69,-48,324,276,48,--,261.09,9.16,17.89,2649.93,-0.52,27.17,-2.19,0,8.2,1127,5.5
4564,元翎,15.3,15.35,15.3,-0.35,-2.24,1680,22.74,117,0,7,124,495,794,-299,-0.18,-794,0,0,0,794,0,0.47,135,60,75,1069,845,224,--,64.53,38.88,-33.65,955.04,-0.3,-21.44,-1.68,0,18.25,10623,23.28
4566,時碩工業,61.1,61.4,61.1,-2.4,-3.78,962,19.2,-170,0,1,-169,57,120,-63,-0.06,-120,0,0,0,120,0,0.12,134,325,-191,782,528,254,65.7,481.19,3.05,5.52,5103.71,0.37,21.89,0.85,1.11,17.64,4851,11
4568,科際精密,40.05,40.6,40.55,0.15,0.37,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,27.97,108.97,78.01,16.58,1206.45,0.48,29.31,1.36,4.93,0.61,48,3.17
4569,六方科-KY,180.5,183,180.5,-7,-3.73,214,33.33,8,0,0,8,27,47,-20,-0.09,-47,0,0,0,47,0,0.21,44,55,-11,148,117,31,37.45,150.34,-16.05,0.75,1849.45,3.22,28.11,3.55,1.8,12.6,964,3.06
4571,鈞興-KY,217.5,219,218,-6,-2.68,1679,47.15,499,0,-4,495,984,1131,-147,-0.09,-991,63,0,0,1054,0.04,0.62,153,157,-4,568,418,150,24.72,235.52,-10.91,10.39,3015.66,2.41,34.5,3.82,2.43,16.67,2210,5.3
4572,駐龍,142,142.5,142.5,-0.5,-0.35,39,28.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,1,28,29,-1,53.77,52.38,-18.19,-9.62,676.22,0.92,33.39,1.9,3.51,2.55,255,4
4576,大銀微系統,273,273.5,273,-11.5,-4.04,5220,38.9,-29,0,-102,-131,2823,3238,-415,-0.08,-1599,360,985,1057,1887,0.25,0.55,868,874,-6,1668,1248,420,107.48,342.05,6.39,40.28,3080.95,0.96,39.01,2.93,0.29,12.74,3816,11.98
4577,達航科技,128,128.5,128.5,-8,-5.86,1368,36.9,44,0,1,45,552,682,-130,-0.09,-666,0,0,0,666,0,0.46,130,232,-102,752,519,233,--,66.37,-5.77,62.58,846.37,-0.21,21.85,-1.08,0,11.28,1386,4.91
4580,捷流閥業,82.1,82.4,82.4,-0.5,-0.6,99,20.2,-18,0,0,-18,0,0,0,0,0,0,0,0,0,0,0,27,33,-6,73,67,6,13.55,180.9,-12.31,-0.09,2305.96,1.76,28.53,2.94,4.85,0.88,103,4.68
4581,光隆精密-KY,49.55,49.7,49.8,-0.3,-0.6,26,50,-4,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,11.89,111.93,11.45,8.42,1092.16,0.88,33.23,2.37,6.02,0.97,82,3.39
4583,台灣精銳,706,713,713,-12,-1.66,190,37.57,-27,-15,-6,-48,83,116,-33,-0.16,-116,0,0,3,113,0,0.58,108,76,32,10,8,2,62.54,342.54,9.74,35.05,3133.39,3.56,53.13,2.87,1.4,19.93,3995,8.02
4584,君帆,42.4,43.5,--,--,--,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,--,--,0,0,0,0,0,0,14.32,89.41,3.45,-25.73,1184.45,0.91,30.16,2.53,4.64,--,0,3
4585,達明,349.5,350,349.5,-11,-3.05,699,29.5,-46,0,-22,-68,276,302,-26,-0.04,-283,13,0,0,296,0.02,0.4,112,118,-6,350,319,31,264.77,142.15,-31.72,16.31,1829.97,0.65,49.88,0.99,0.29,1.86,487,10.46
4588,玖鼎電力,56,56.1,56,0.7,1.27,231,57.21,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,18,11,7,215,222,-7,15.73,11.74,-88.79,-83.84,924.31,0.63,32.2,2.86,5.36,3.75,403,4.3
4609,唐鋒,5.19,5.57,5.2,-0.55,-9.57,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,--,22.86,191.61,37.98,161.05,-0.08,0.58,-2.62,0,--,0,4.79
4702,中美實,9.68,9.75,9.69,-0.16,-1.62,117,46.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,0,6.42,5.06,28.97,-21.46,68.8,0.45,37.27,2.45,5.16,9.29,1680,7.23
4706,大恭,30.95,31.5,31.2,0.2,0.65,6,16.67,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,70.91,112.07,-11.19,29.31,1159,0.28,19.48,1.46,0.96,0.56,111,7.9
4707,磐亞,15,15.05,15,0.35,2.39,1299,56.46,295,0,56,351,128,0,128,0.1,128,128,0,0,0,0.1,0,142,109,33,1049,1210,-161,16.13,63.45,-42.02,-48.82,1260.47,0.26,-4.03,1.64,3.33,10.37,10470,40.37
4711,永純,17.1,17.15,17.1,0.15,0.88,688,50.58,93,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,46,-46,691,645,46,45,91.02,14.85,89.33,782.05,0.23,18.67,1.38,2.92,6.72,1026,6.11
4714,永捷,13.65,13.7,13.65,-0.65,-4.55,1895,27.89,-656,0,-18,-674,80,457,-377,-0.2,-377,0,80,183,274,0.04,0.24,195,292,-97,1633,1159,474,--,203.77,-0.94,96.03,1932.24,-0.02,12.99,-0.32,0,15.71,6995,17.81
4716,大立,14.6,14.65,14.65,-0.4,-2.66,528,23.95,-96,0,-1,-97,0,0,0,0,0,0,0,0,0,0,0,45,40,5,491,496,-5,--,46.54,-27.36,-2.12,529.91,0.17,14.34,1.4,0,43.9,9831,9.44
4720,德淵,26.85,26.9,26.9,2.1,8.47,15255,73.52,-228,-1,37,-192,6498,6353,145,0.01,6337,6440,58,69,92,0.42,0.01,1755,2932,-1177,7058,6025,1033,44.1,363.21,-5.31,18.38,3676.49,0.2,22.2,1.32,1.49,22.18,6349,11.45
4721,美琪瑪,90.4,90.6,90.4,-1.7,-1.85,1113,32.83,14,0,12,26,195,255,-60,-0.05,-168,36,13,72,145,0.04,0.19,237,183,54,702,696,6,22.94,259.19,3.82,-31.86,2691.11,1.67,25.66,9.39,2.54,10.8,2024,7.5
4722,國精化,270,270.5,270.5,-5,-1.81,962,28.01,-11,0,-17,-28,471,692,-221,-0.23,-634,0,0,0,634,0,0.65,231,146,85,298,162,136,159.12,382.7,21.19,3.25,3709.85,0.22,14.15,0.7,0.44,64.36,16539,10.28
4726,永昕,27.25,27.35,27.25,-0.2,-0.73,217,30.56,-12,0,0,-12,0,0,0,0,0,0,0,0,0,0,0,45,0,45,175,220,-45,--,106.74,12.87,301.01,895.46,-0.56,-30.01,-7.58,0,--,366,20.7
4728,雙美,379.5,381,380,-3.5,-0.91,22,25,19,0,0,19,18,18,0,0,-18,0,0,0,18,0,0.78,2,2,0,3,3,0,28.59,202.15,-10.29,29.7,2083.11,4.07,78.91,15.81,3.18,13.37,1820,5.45
4729,熒茂,23.95,24,24,0.05,0.21,1274,46.89,-113,0,0,-113,0,0,0,0,0,0,0,0,0,0,0,126,159,-33,1155,1122,33,240,101.65,19.48,11.06,1058.54,0.04,24.61,0.39,0,11.01,2181,7.92
4735,豪展,30.65,30.75,30.9,-0.1,-0.32,32,21.87,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,9.97,107.74,5.34,43.69,984.85,1.19,33.12,4.54,6.5,2.62,272,4.16
4736,泰博,122,123,122,-0.5,-0.41,225,21.08,7,0,0,7,26,77,-51,-0.22,-15,11,0,0,26,0.05,0.11,79,43,36,124,109,15,6.68,368.2,-17.1,-6.19,4277.44,2.99,49.5,2.93,4.92,1.16,277,9.54
4737,華廣,60,60.4,60,1.5,2.56,187,51.61,12,0,-1,11,20,21,-1,-0.01,-1,20,0,0,21,0.11,0.11,44,14,30,125,154,-29,--,141.32,-15.62,-8.43,1749.4,-1.09,30.17,-3.99,0,4.5,870,7.74
