代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,23.9,23.95,23.9,-0.05,-0.21,31864,40.8,-3731,268,-266,-3729,27676,25676,2000,0.06,11427,16723,0,0,5296,0.52,0.17,702,2058,-1356,3581,4225,-644,--,12612.01,3.27,-0.06,148473.86,0.1,18.72,0.4,3.35,1.74,32768,752.32
1102,亞泥,34.35,34.4,34.4,0.5,1.47,16484,72.44,-2354,129,139,-2086,14091,12423,1668,0.1,13766,13859,202,264,31,0.85,0.02,810,1202,-392,1625,2899,-1274,11.54,6296.53,10.57,-1.16,68619.52,0.56,12.96,0.89,6.69,0.28,2497,354.66
1103,嘉泥,13.35,13.45,13.45,0.05,0.37,220,45.58,36,0,0,36,0,0,0,0,0,0,0,0,0,0,0,42,0,42,182,224,-42,20.38,230.49,11.01,-7.5,2868.6,0.08,21.15,0.27,4.09,2.11,4178,83.29
1104,環泥,29,29.05,29,-0.05,-0.17,890,40,207,0,4,211,170,319,-149,-0.17,-180,48,0,0,228,0.05,0.25,217,85,132,509,492,17,11.33,655.82,3.12,1.98,7702.41,0.41,27.95,1.14,6.38,0.83,1431,68.67
1108,幸福,13.6,13.65,13.6,-0.15,-1.09,879,34.26,185,0,2,187,80,427,-347,-0.39,-427,0,0,0,427,0,0.48,107,200,-93,695,255,440,6.73,335.1,3.79,-13.76,4077.49,0.17,16.14,1.23,7.35,0.51,512,40.47
1109,信大,14.6,14.65,14.6,-0.05,-0.34,446,38.01,80,0,23,103,0,200,-200,-0.44,-200,0,0,0,200,0,0.44,0,100,-100,456,156,300,18.48,348.18,2.35,-14.51,4144.04,0.01,6.23,-0.15,6.16,0.36,309,34.12
1110,東泥,15.35,15.4,15.4,0,0,280,64.44,2,0,-8,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,281,0,48.13,233.65,-1.64,-10.65,2638.81,0.05,14.33,0.26,1.95,1.89,2708,57.2
1201,味全,12.35,12.4,12.4,0.15,1.22,380,45.45,43,0,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,388,0,31.79,1825.31,1.77,-5.08,21466.63,0.2,27.41,1.32,1.69,1.22,1547,50.61
1203,味王,41.65,42.25,41.7,-0.3,-0.71,26,33.33,-9,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,24.53,432.67,-1.15,-10.05,5291.88,0.49,34.47,2.41,2.4,0.01,3,24
1210,大成,55.4,55.5,55.4,0.9,1.65,9930,73.35,-596,4990,75,4469,8576,5684,2892,0.29,8551,8576,0,0,25,0.86,0,485,1087,-602,966,3255,-2289,14.03,9065.71,-0.36,10.16,104814.75,0.94,14.07,2.77,5.42,0.43,970,89.48
1213,大飲,8.26,8.4,8.4,-0.01,-0.12,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,--,22.83,-10.1,14.3,311.41,-0.37,-2,-3.29,0,--,0,5.66
1215,卜蜂,118,118.5,118,3,2.61,3843,32.46,2082,-1810,4,276,3183,3077,106,0.03,3055,3145,38,119,9,0.82,0.03,235,201,34,476,615,-139,12.72,2488.78,7.42,1.65,28881.78,1.26,17.75,3.12,5.93,0.51,374,29.48
1216,統一,74.4,74.5,74.4,0.3,0.4,16612,45.56,2575,-28,563,3110,15489,14341,1148,0.07,10672,11241,4076,4392,253,0.92,0.28,463,748,-285,749,1610,-861,20.11,59180.34,2.96,2.7,681440.26,1.15,33.78,4.5,4.03,0.08,1140,568.2
1217,愛之味,9.87,9.88,9.87,0.03,0.3,670,39.79,76,0,4,80,0,0,0,0,0,0,0,0,0,0,0,0,59,-59,678,619,59,20.56,376.36,-5.12,-14.61,4971.99,-0.13,26.35,-0.76,2.53,0.97,1202,49.45
1218,泰山,19.35,19.4,19.35,-0.05,-0.26,1372,41.82,-24,0,5,-19,465,395,70,0.05,-62,0,0,0,62,0,0.04,139,311,-172,783,681,102,12.9,821.02,-2.77,-1.42,10309.88,0.32,17.14,1.24,6.82,1.2,1495,50
1219,福壽,12.5,12.55,12.5,0,0,401,48.21,107,0,-3,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,405,0,26.6,1115.08,-8.73,-6.86,14340.45,0.11,7.81,-0.08,4,0.7,598,34.12
1220,台榮,11.6,11.65,11.65,-0.05,-0.43,125,16.67,-30,0,-2,-32,0,0,0,0,0,0,0,0,0,0,0,0,54,-54,143,89,54,582.5,239.79,-19.9,-12.6,3352.56,-0.17,7.79,-0.98,1.72,2.55,1129,17.71
1225,福懋油,30.3,30.5,30.35,0.25,0.83,525,62.33,54,0,-2,52,276,269,7,0.01,60,57,219,216,0,0.52,0.41,0,0,0,252,259,-7,17.75,1031.01,-7.13,2.27,12369.11,0.44,9.3,2.82,3.29,12.13,7347,24.23
