代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,24.55,24.6,24.55,0.3,1.24,30066,58,6211,61,-341,5931,23588,20581,3007,0.1,23432,23537,51,156,0,0.78,0.01,1760,2167,-407,4869,7469,-2600,--,12612.01,3.27,-0.06,148473.86,0.1,18.72,0.4,3.26,1.71,32169,752.32
1102,亞泥,35.15,35.2,35.2,0.7,2.03,15382,64.51,-67,23,-16,-60,13357,9909,3448,0.22,13114,13001,356,243,0,0.86,0.02,724,1465,-741,1368,4076,-2708,11.81,6296.53,10.57,-1.16,68619.52,0.56,12.96,0.89,6.53,0.24,2123,354.66
1103,嘉泥,13.5,13.55,13.55,0.1,0.74,307,66.01,66,0,-12,54,0,0,0,0,0,0,0,0,0,0,0,107,39,68,207,275,-68,20.53,230.49,11.01,-7.5,2868.6,0.08,21.15,0.27,4.06,2.11,4172,83.29
1104,環泥,29.15,29.2,29.2,0.2,0.69,571,54.05,192,-5,13,200,226,45,181,0.31,226,226,0,0,0,0.39,0,119,177,-58,235,358,-123,11.41,655.82,3.12,1.98,7702.41,0.41,27.95,1.14,6.34,0.89,1535,68.67
1108,幸福,13.7,13.8,13.8,0.15,1.1,232,38.43,-6,0,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,37,-37,234,197,37,6.83,335.1,3.79,-13.76,4077.49,0.17,16.14,1.23,7.25,0.49,499,40.47
1109,信大,14.65,14.7,14.7,0.1,0.68,113,70.8,26,0,-2,24,0,0,0,0,0,0,0,0,0,0,0,0,36,-36,117,81,36,18.61,348.18,2.35,-14.51,4144.04,0.01,6.23,-0.15,6.12,0.36,307,34.12
1110,東泥,15.4,15.45,15.45,0.05,0.32,121,64.6,5,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,122,0,48.28,233.65,-1.64,-10.65,2638.81,0.05,14.33,0.26,1.94,1.9,2717,57.2
1201,味全,12.45,12.5,12.5,0.1,0.81,341,32.94,58,0,-3,55,0,100,-100,-0.29,0,0,0,0,0,0,0,0,50,-50,347,197,150,32.05,1825.31,1.77,-5.08,21466.63,0.2,27.41,1.32,1.68,1.18,1494,50.61
1203,味王,42.8,43.2,42.8,0.05,0.12,17,5.88,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,25.18,432.67,-1.15,-10.05,5291.88,0.49,34.47,2.41,2.34,0,2,24
1210,大成,55.3,55.4,55.3,-0.4,-0.72,4618,35.08,-2044,1692,13,-339,2749,2966,-217,-0.05,-2523,0,443,246,2720,0.1,0.64,568,623,-55,1341,1069,272,14,9065.71,-0.36,10.16,104814.75,0.94,14.07,2.77,5.42,0.41,913,89.48
1213,大飲,8.15,8.59,8.6,0.28,3.37,13,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,--,22.83,-10.1,14.3,311.41,-0.37,-2,-3.29,0,--,0,5.66
1215,卜蜂,118,118.5,118,0.5,0.43,1051,53.95,-368,224,-7,-151,728,722,6,0.01,294,303,0,0,9,0.28,0.01,95,131,-36,258,229,29,12.72,2488.78,7.42,1.65,28881.78,1.26,17.75,3.12,5.93,0.53,394,29.48
1216,統一,76.4,76.5,76.5,0.9,1.19,13882,65.93,6307,-71,84,6320,13032,9007,4025,0.29,12879,12879,0,0,0,0.92,0,364,1970,-1606,655,3074,-2419,20.68,59180.34,2.96,2.7,681440.26,1.15,33.78,4.5,3.92,0.06,869,568.2
1217,愛之味,9.86,9.87,9.87,0.01,0.1,435,30.52,-50,0,-3,-53,0,0,0,0,0,0,0,0,0,0,0,0,65,-65,444,379,65,20.56,376.36,-5.12,-14.61,4971.99,-0.13,26.35,-0.76,2.53,0.61,752,49.45
1218,泰山,17.95,18,18,0.1,0.56,2964,41.71,-1360,0,8,-1352,601,1813,-1212,-0.41,-1094,58,543,1543,152,0.2,0.57,578,325,253,1813,854,959,12,821.02,-2.77,-1.42,10309.88,0.32,17.14,1.24,7.33,1.24,1550,50
