代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,24.15,24.2,24.15,-0.05,-0.21,25171,48.5,-10946,368,-802,-11380,19804,21984,-2180,-0.09,-19205,599,1208,1397,19615,0.07,0.83,964,873,91,4497,2408,2089,--,12213.2,-1.61,-3.69,148481.34,0.1,18.72,0.4,3.31,1.66,31286,752.32
1102,亞泥,34.5,34.55,34.5,-0.3,-0.86,8293,47.09,-4193,974,-52,-3271,6168,7586,-1418,-0.17,-7095,30,424,447,7102,0.05,0.91,638,322,316,1513,411,1102,11.58,5694.46,6.45,-9.27,68693.16,0.56,12.96,0.89,6.67,0.15,1369,354.66
1103,嘉泥,13,13.1,13,-0.05,-0.38,297,33.33,-159,0,10,-149,0,0,0,0,0,0,0,0,0,0,0,74,39,35,227,262,-35,19.7,207.62,-14.46,-23.55,2887.3,0.08,21.15,0.27,4.23,2.08,4108,79.02
1104,環泥,27.35,27.4,27.4,-0.05,-0.18,598,29.29,-392,-1,0,-393,120,227,-107,-0.18,-227,0,0,0,227,0,0.37,71,120,-49,420,264,156,10.7,635.96,9.5,-8.98,7689.7,0.41,27.95,1.14,6.75,0.64,1105,68.67
1108,幸福,13.75,13.8,13.8,0,0,180,33.9,-58,0,2,-56,0,0,0,0,0,0,0,0,0,0,0,52,72,-20,129,109,20,6.83,322.87,-6.92,-21.38,4130.96,0.17,16.14,1.23,7.25,0.75,761,40.47
1109,信大,14.5,14.6,14.6,0,0,82,52.5,-20,0,3,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,87,0,18.48,340.19,8.34,-21.62,4203.15,0.01,6.23,-0.15,6.16,0.36,311,34.12
1110,東泥,13.9,14.05,13.9,-0.3,-2.11,126,7.94,-69,0,4,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,0,43.44,237.55,5.8,-10.21,2666.66,0.05,14.33,0.26,2.16,1.95,2782,57.2
1201,味全,12.05,12.1,12.1,0.1,0.83,350,72.25,-5,0,0,-5,100,0,100,0.28,100,100,0,0,0,0.28,0,0,44,-44,256,312,-56,31.03,1793.56,6.46,-3.42,21564.35,0.2,27.41,1.32,1.74,1.02,1287,50.61
1203,味王,41.1,41.75,41.65,0.9,2.21,34,50,-6,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,24.5,437.7,-5.83,-12.21,5340.21,0.49,34.47,2.41,2.4,0.01,6,24
1210,大成,53,53.1,53,-0.5,-0.93,1642,35.15,-269,-53,45,-277,815,981,-166,-0.1,-915,21,0,0,936,0.01,0.56,321,242,79,534,447,87,13.42,9098.46,-1.21,4.32,103978.56,0.94,14.07,2.77,5.66,0.84,1885,89.48
