代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,24.35,24.4,24.4,0.75,3.17,49217,75.09,15019,32,-160,14891,45009,37392,7617,0.15,32155,29288,15720,12853,0,0.91,0.26,1147,3518,-2371,3248,8495,-5247,--,12213.2,-1.61,-3.69,148481.34,0.1,18.72,0.4,3.28,1.69,31711,752.32
1102,亞泥,34,34.05,34,1.6,4.94,205186,4.5,3323,-690,-224,2409,202080,199500,2580,0.01,202080,202080,0,0,0,0.98,0,997,1757,-760,2167,3988,-1821,11.41,5694.46,6.45,-9.27,68693.16,0.56,12.96,0.89,6.76,0.23,2070,354.66
1103,嘉泥,13.4,13.45,13.45,0.25,1.89,401,76.81,132,0,4,136,0,0,0,0,0,0,0,0,0,0,0,160,0,160,252,412,-160,20.38,207.62,-14.46,-23.55,2887.3,0.08,21.15,0.27,4.09,2.08,4114,83.29
1104,環泥,27.45,27.5,27.45,0.25,0.92,725,42.34,35,-2,1,34,144,143,1,0,144,144,0,0,0,0.2,0,122,167,-45,468,424,44,10.72,635.96,9.5,-8.98,7689.7,0.41,27.95,1.14,6.74,0.73,1248,68.67
1108,幸福,13.65,13.7,13.7,0.15,1.11,277,59.21,57,0,1,58,0,0,0,0,0,0,0,0,0,0,0,40,0,40,241,281,-40,6.78,322.87,-6.92,-21.38,4130.96,0.17,16.14,1.23,7.3,0.75,758,40.47
1109,信大,14.55,14.6,14.6,0.15,1.04,107,81.13,39,0,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,0,18.48,340.19,8.34,-21.62,4203.15,0.01,6.23,-0.15,6.16,0.36,309,34.12
1110,東泥,14.55,14.6,14.6,0.6,4.29,266,74.51,125,0,-1,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,268,0,45.63,237.55,5.8,-10.21,2666.66,0.05,14.33,0.26,2.05,1.91,2738,57.2
1201,味全,12.1,12.15,12.1,0.1,0.83,302,53.67,74,0,1,75,0,0,0,0,0,0,0,0,0,0,0,62,0,62,253,315,-62,31.03,1793.56,6.46,-3.42,21564.35,0.2,27.41,1.32,1.74,1.07,1349,50.61
1203,味王,43.05,43.35,43.55,0.55,1.28,20,85,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,25.62,437.7,-5.83,-12.21,5340.21,0.49,34.47,2.41,2.3,0,2,24
1210,大成,52.5,52.6,52.6,0.8,1.54,2645,42.94,655,-10,-21,624,2109,1718,391,0.15,1960,2036,0,0,76,0.76,0.03,134,321,-187,431,635,-204,13.32,9098.46,-1.21,4.32,103978.56,0.94,14.07,2.77,5.7,0.87,1951,89.48
1213,大飲,8.07,8.31,8.31,0.15,1.84,16,56.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,--,25.4,8.92,0.97,308.55,-0.37,-2,-3.29,0,--,0,5.66
1215,卜蜂,124.5,125,125,-2.5,-1.96,2396,32.87,-295,-9,-105,-409,1165,2043,-878,-0.35,-2043,0,0,0,2043,0,0.81,363,189,174,999,296,703,13.47,2316.77,-7.75,-2.92,28841.27,1.26,17.75,3.12,5.6,0.51,376,29.48
1216,統一,71.8,71.9,71.8,1,1.41,38212,35.14,-5961,7893,-154,1778,35763,33528,2235,0.06,34058,34286,1477,1705,0,0.93,0.04,909,1362,-453,1647,3428,-1781,19.41,57480.11,0.18,2.26,679885.44,1.15,33.78,4.5,4.18,0.11,1526,568.2
1217,愛之味,9.71,9.72,9.72,0.08,0.83,493,61.22,45,0,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,502,0,20.25,396.67,3.15,5.27,5036.36,-0.13,26.35,-0.76,2.57,1.06,1306,49.45
1218,泰山,18.75,18.8,18.75,0.25,1.35,906,62.32,143,0,2,145,77,61,16,0.02,77,77,0,0,0,0.08,0,236,272,-36,601,581,20,12.5,844.39,-3.2,6.37,10321.74,0.32,17.14,1.24,7.04,1.11,1393,50
1219,福壽,12.6,12.65,12.65,0.15,1.2,327,69.44,-37,0,-4,-41,80,0,80,0.24,80,80,0,0,0,0.24,0,0,0,0,254,334,-80,26.91,1221.79,-6.3,1.21,14422.57,0.11,7.81,-0.08,3.95,0.64,543,34.12
1220,台榮,11.6,11.65,11.65,0,0,115,40.87,11,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,132,0,582.5,299.35,21.09,12.32,3387.14,-0.17,7.79,-0.98,1.72,2.56,1132,17.71
1225,福懋油,29.2,29.25,29.25,0.05,0.17,96,55.21,-25,0,0,-25,0,0,0,0,0,0,0,0,0,0,0,0,24,-24,99,75,24,17.11,1110.18,2.92,8.99,12346.23,0.44,9.3,2.82,3.42,11.8,7144,24.23
1227,佳格,27.95,28,27.95,0.05,0.18,1471,43.37,17,-1,5,21,416,753,-337,-0.23,-343,41,331,425,290,0.25,0.48,180,67,113,896,671,225,19.28,1931.5,-8.11,-4.84,28668.11,0.52,23.44,2.51,4.79,0.51,1156,91.51
1229,聯華,39.9,40.05,39.9,0.5,1.27,3428,56.54,706,-2,10,714,2079,1413,666,0.19,2079,2079,0,0,0,0.59,0,347,413,-66,1078,1677,-599,15.41,604.37,-35.18,-45.4,13275.29,0.55,23.32,1.33,5.01,0.67,3027,179.6
1231,聯華食,85.5,85.6,85.5,0.8,0.94,376,64.27,212,-1,-1,210,185,42,143,0.36,185,185,0,0,0,0.47,0,53,104,-51,158,251,-93,19.43,1007.99,3.52,1,13099.76,1,21.66,4,2.92,0.35,264,29.85
1232,大統益,147.5,148,147.5,0,0,110,59.63,1,0,1,2,43,19,24,0.21,31,43,0,0,12,0.38,0.11,23,47,-24,48,48,0,17.05,1890.2,-6.41,3.12,22067.12,2.33,13.69,6.17,4.88,0.02,7,16
1233,天仁,27.8,28,28,0,0,25,56,13,0,-1056,-1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,34.15,173.25,-1.37,2.59,2192.37,0.34,61.08,2.21,0.71,0.23,53,9.06
1234,黑松,34.25,34.5,34.4,0.2,0.58,148,68.53,11,0,-7,4,0,0,0,0,0,0,0,0,0,0,0,20,0,20,132,152,-20,20.48,685.65,-5.88,-14.24,9495.82,0.29,23.95,0.62,4.8,0.02,20,40.19
1235,興泰,39.3,39.9,41.1,0.3,0.74,25,72,16,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,--,14.86,-22.83,3.02,206.9,-0.54,28.55,-4.06,2.43,1.47,693,18.86
1236,宏亞,24.25,24.45,24.4,0.1,0.41,16,87.5,6,0,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,--,122.25,18.38,-2.44,1839.97,0.23,28.09,0.8,6.76,0.66,143,8.67
1240,茂生農經,57.3,57.4,57.3,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,12.27,236.45,-11.88,11.59,2774.69,0.89,12.79,2.4,6.11,0.21,23,4.42
1256,鮮活果汁-KY,205,206.5,205.5,7.5,3.79,345,59.28,-44,0,-6,-50,167,107,60,0.17,97,87,80,70,0,0.47,0.2,47,65,-18,143,185,-42,15.52,455.56,27.91,56.21,4684.7,3.24,30.39,2.85,3.21,4.84,433,3.58
1259,安心,57.9,58.5,58.4,0.5,0.86,9,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,26.07,488.5,-5.66,1.96,6125.47,0.06,22.76,0.07,2.05,0.53,43,3.24
1264,德麥,270.5,271,270.5,0,0,39,56.41,0,0,-5,-5,10,33,-23,-0.53,-3,10,0,4,9,0.23,0.3,12,0,12,21,10,11,13.02,630.34,12.03,11.03,6848.17,5.5,33.22,5.4,5.55,0.01,1,3.71
1268,漢來美食,168.5,169,168.5,0.5,0.3,22,18.18,4,0,0,4,8,0,8,0.35,0,0,0,0,0,0,0,0,8,-8,15,15,0,14.53,514.78,-11.85,25.42,6584.17,5.87,48.89,10.21,4.75,0.26,27,4.22
1294,漢田生技,77.5,77.6,77.9,0.6,0.78,10,70,-2,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,15.93,76.65,0.71,5.99,836.25,1.41,36.8,5.01,6.42,1.9,145,3.06
1295,生合,50,50.1,50,-0.9,-1.77,57,12.28,-12,0,0,-12,0,0,0,0,0,0,0,0,0,0,0,12,0,12,46,58,-12,11.49,104.39,31.5,-10.24,1007.57,0.39,47.44,1.03,6,1.91,165,3.45
1301,台塑,47.45,47.5,47.45,2.4,5.33,45592,53.51,11789,-7,761,12543,34473,26854,7619,0.17,34473,34473,0,0,0,0.75,0,3011,4490,-1479,8355,14495,-6140,--,18326.27,5.6,13.31,172347.64,0.51,3.7,0.87,1.05,1.22,19396,636.57
1303,南亞,98.1,98.2,98.1,7.6,8.4,147347,55.2,59320,2301,2193,63814,133996,106010,27986,0.19,133996,133996,0,0,0,0.9,0,4519,16016,-11497,10121,26611,-16490,42.47,27681.31,1.89,19.44,267452.16,1.8,11.94,3.8,0.82,1.96,38780,793.08
1304,台聚,12.15,12.2,12.2,-0.15,-1.21,8061,41.17,1147,0,-45,1102,4303,3718,585,0.07,-676,0,3042,1795,1923,0.38,0.46,1144,952,192,2635,3412,-777,--,4412.98,2.14,13.41,43289.29,-0.41,2.86,-2.76,1.23,4.44,13184,118.88
1305,華夏,12.3,12.35,12.3,-0.3,-2.38,3979,38.26,685,0,16,701,933,493,440,0.11,116,0,609,345,148,0.15,0.12,873,915,-42,2255,2654,-399,--,1192.32,10.17,43.35,9792.91,-0.21,1.97,-1.65,0.81,4.94,7172,58.11
1307,三芳,31.15,31.3,31.15,0.4,1.3,790,55.2,84,-19,0,65,146,37,109,0.14,146,146,0,0,0,0.18,0,148,91,57,501,666,-165,11.37,981.26,-2.95,8.54,10913.96,0.97,32.59,3.89,7.06,1.77,1758,39.78
1308,亞聚,13.1,13.15,13.1,-0.15,-1.13,3041,48.33,679,0,-6,673,1027,539,488,0.16,380,0,919,351,188,0.3,0.18,664,428,236,1363,2087,-724,--,512.06,7.43,16.25,5583.33,-0.2,5.66,-1.13,1.53,5.6,8310,59.37
1309,台達化,15.7,15.75,15.7,-0.55,-3.38,11763,46.03,306,0,-52,254,3896,4095,-199,-0.02,-3401,0,694,492,3603,0.06,0.35,2010,1968,42,5894,5737,157,--,1262.51,-8.29,-8.24,13474.16,-0.53,-1.76,-3.69,0.96,8.35,8299,39.76
1310,台苯,8.04,8.05,8.04,-0.08,-0.99,4272,43.06,-486,0,-10,-496,736,238,498,0.12,-238,0,0,0,238,0,0.06,378,353,25,3195,3718,-523,--,891.39,4.31,5.29,8608.64,-0.94,8.94,-6.61,0,9.15,12069,52.79
1312,國喬,11.3,11.35,11.35,0.4,3.65,25520,50.53,-4582,0,73,-4509,7392,11591,-4199,-0.16,6265,7192,0,0,927,0.28,0.04,3756,3600,156,14429,10387,4042,--,2489.49,-19.98,-5.46,24371.95,-1.17,-1.73,-4.14,0,5.3,14658,110.66
1313,聯成,10.65,10.7,10.7,0.1,0.94,3669,59.06,1034,0,-3,1031,1197,523,674,0.18,892,892,0,0,0,0.24,0,726,997,-271,1759,2163,-404,--,5878.67,-9.41,5.52,60418.9,0.08,6.21,0.35,0.93,3.33,11242,133.08
1314,中石化,7.04,7.05,7.04,-0.06,-0.85,18011,50.35,-1078,0,2,-1076,7214,5399,1815,0.1,-5230,0,0,0,5230,0,0.29,2469,4311,-1842,8388,8362,26,--,1556.46,10.83,-10.37,16626.02,-0.07,-7.12,-0.34,0,5.03,47575,378.49
1315,達新,61.8,62,61.6,0,0,34,38.24,-7,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,10,9,1,24,25,-1,41.62,131.51,3.46,-14.17,2120.3,0.15,11,0.14,7.31,0.02,4,9.91
1316,上曜,10.1,10.15,10.1,-0.1,-0.98,2029,27.54,-24,0,-11,-35,101,371,-270,-0.13,-371,0,0,0,371,0,0.18,279,277,2,1665,1397,268,--,683.94,4.3,115.49,5968.9,-0.19,32.15,0.3,0,11.7,10995,40.16
1319,東陽,95.1,--,95.1,8.6,9.94,11051,93.2,-1230,-396,-347,-1973,9968,9176,792,0.07,9578,9655,313,390,0,0.9,0.04,339,872,-533,829,1087,-258,17.07,2009.03,-1.78,-14.11,23102.93,1.62,32.51,3.22,5.26,5.02,7418,59.15
1321,大洋,28.7,28.9,28.85,0,0,348,39.37,-7,0,12,5,0,42,-42,-0.12,-42,0,0,0,42,0,0.12,45,74,-29,304,233,71,--,352.11,-5.51,10.96,3493.27,0.16,11.97,0.61,0,12.55,7127,22.72
1323,永裕,20.1,20.15,20.1,-0.05,-0.25,45,53.33,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,0,35.89,186.58,-8.1,5.09,2034.03,0.36,18.63,1.26,4.48,0.94,215,9.13
1324,地球,10.25,10.3,10.3,0.05,0.49,78,27.27,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,0,--,51.22,-29.76,-24.22,702.64,-0.06,16.15,-0.5,0,7.33,1376,7.51
1325,恆大,27,27.05,27,0,0,301,46.31,43,0,0,43,0,0,0,0,0,0,0,0,0,0,0,24,0,24,279,303,-24,--,24.47,35.3,-13.39,262.13,-0.08,-20.01,-0.29,0,11.05,2356,8.53
1326,台化,49.9,--,49.9,4.5,9.91,66759,71.11,30567,-7,921,31481,51112,30617,20495,0.31,51112,51112,0,0,0,0.76,0,4290,9314,-5024,11724,27195,-15471,332.67,32101.07,-4.83,28.23,296941.81,1.07,7.74,1.65,1.2,1.16,17059,586.12
1336,台翰,13.25,13.3,13.25,0.15,1.15,87,58.62,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,88,0,35.81,203.81,-4.85,-8.9,2411.46,0.1,12.26,0.4,1.96,13.48,2616,7.76
1337,再生-KY,4.81,4.83,4.82,0.07,1.47,678,47.6,148,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,695,0,--,42.07,-32.04,-31.33,615.05,-0.43,-8.67,-3.14,0,31.49,21174,26.9
1338,廣華-KY,16.3,16.35,16.35,0.25,1.55,434,50.12,74,0,-2,72,0,0,0,0,0,0,0,0,0,0,0,0,80,-80,435,355,80,--,458.16,0.86,12.11,5200.28,-1.15,25.08,-1.37,1.83,12.72,2667,8.38
1339,昭輝,45.6,45.8,45.6,0.75,1.67,1589,31.29,-186,0,-7,-193,127,266,-139,-0.09,-13,56,71,140,0,0.08,0.09,86,234,-148,1387,1100,287,10.78,141.13,0.81,-10.02,1543.54,2.78,24.62,5.41,5.48,3.3,611,7.41
1340,勝悅-KY,5.47,5.48,5.48,0.06,1.11,172,43.6,19,0,-13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,185,0,--,5.28,53.49,-81.22,82.69,-0.3,-181.27,-1.74,0,2.63,1005,15.29
1341,富林-KY,60.6,61.6,60.8,-0.9,-1.46,13,30.77,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,14.9,265.86,-13.78,18.06,2598.18,1.62,25.06,6.92,6.58,--,0,5.29
1342,八貫,91.5,91.8,91.6,0.2,0.22,208,46.15,80,0,1,81,21,50,-29,-0.13,-29,0,21,50,0,0.1,0.23,44,28,16,150,138,12,15.39,349.26,-5.82,44.52,3108.06,2.08,27.2,7.23,6.55,3.07,598,7.8
1402,遠東新,25.65,25.7,25.65,0.85,3.43,330209,6.87,37671,-35232,-10,2429,320307,319591,716,0,314710,317940,0,0,3230,0.96,0.01,2922,3611,-689,7104,7125,-21,15.93,22888.48,7.02,14.34,254108.68,0.61,21.9,1.74,4.87,0.91,12241,535.29
1409,新纖,22.8,--,22.8,2.05,9.88,18460,100,-1010,-4,2418,1404,14707,12502,2205,0.12,14707,14707,0,0,0,0.79,0,1389,2431,-1042,2469,3633,-1164,17.14,4079.33,3.4,25.05,39654.34,0.39,24.36,1.68,3.95,5.08,20538,161.84
1410,南染,26.4,26.65,26.45,0.3,1.15,24,54.17,6,0,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,48.98,23.11,-0.38,12.78,191.66,0.03,31.62,0.04,0.76,2.05,317,6.2
1413,宏洲,9.33,9.35,9.34,0.09,0.97,54,20.93,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,0,16.98,224.01,19.53,-0.58,1955.63,-0.13,-0.87,-1.51,0,--,0,13.21
1414,東和,14.4,14.55,14.5,0.25,1.75,195,48.21,-25,0,-3,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,199,0,50,46.22,16.3,-2.65,446.93,0.06,11.1,0.38,1.38,1.72,849,19.8
1416,廣豐,11.1,11.15,11.1,0.05,0.45,219,60.83,60,0,2,62,0,0,0,0,0,0,0,0,0,0,0,46,0,46,183,229,-46,12.91,33.56,-4.63,26.52,391.28,0.18,34.96,0.8,5.14,8.09,3747,18.53
1417,嘉裕,8.12,8.16,8.16,0.1,1.24,186,63.54,54,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,193,0,18.13,22.01,8.23,1.81,422.97,-0.22,66.83,-1.81,3.06,3.37,1600,18.99
1418,東華,18.15,18.5,18.5,0.5,2.78,50,57.14,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,38,-38,52,14,38,--,0.55,3158.82,59.2,3.34,-0.75,-8.18,-3.38,0,6.14,719,5.68
1419,新紡,64.1,64.2,64.2,0.4,0.63,152,61.18,55,-1,1,55,0,0,0,0,0,0,0,0,0,0,0,10,25,-15,145,130,15,4.89,402.04,-28.64,39.74,5236.81,9.37,25.86,14.78,2.8,1.77,1330,30
1423,利華,41.5,41.55,41.5,-0.2,-0.48,61,63.93,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,14,39,-25,48,23,25,11.01,4.17,-47.9,-33.97,86.09,0.15,25.08,0.42,8.67,0.26,64,9.96
1432,大魯閣,16.75,16.8,16.8,0.6,3.7,699,59.51,21,0,-1,20,0,0,0,0,0,0,0,0,0,0,0,36,74,-38,682,644,38,2.57,66.52,10.86,-39.79,1140.71,-0.54,16.5,-3.46,11.9,0.76,172,10.8
1434,福懋,15.3,15.45,15.45,0.5,3.34,3925,81.33,1160,-2,-148,1010,2612,1724,888,0.23,2612,2612,0,0,0,0.66,0,357,726,-369,977,1496,-519,25.75,2584.62,-3.66,-5.12,26745.67,0.2,11.18,0.77,3.24,0.62,2622,168.47
1436,華友聯,44.2,44.25,44.25,0,0,160,53.16,37,-2,0,35,24,0,24,0.14,0,0,0,0,0,0,0,0,20,-20,143,147,-4,10.27,53.74,47.7,-25.39,3634.12,-0.31,49.22,-0.95,11.41,1.91,926,19.42
