代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,24.4,24.45,24.4,-0.05,-0.2,31190,40.13,-7828,216,-75,-7687,25091,25116,-25,0,-13494,6074,0,0,19568,0.19,0.62,1411,1438,-27,4811,4759,52,--,12213.2,-1.61,-3.69,148481.34,0.1,18.72,0.4,3.28,1.75,32964,752.32
1102,亞泥,34.4,34.5,34.4,0.05,0.15,14831,56.5,-6086,105,-50,-6031,12366,12928,-562,-0.04,4073,8685,0,0,4612,0.58,0.31,940,674,266,1558,1262,296,11.54,5694.46,6.45,-9.27,68693.16,0.56,12.96,0.89,6.69,0.27,2367,354.66
1103,嘉泥,13.5,13.6,13.6,-0.05,-0.37,414,43,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,143,50,93,280,373,-93,20.61,207.62,-14.46,-23.55,2887.3,0.08,21.15,0.27,4.04,2.13,4199,83.29
1104,環泥,29.3,29.4,29.4,0.15,0.51,1273,41.66,-28,-1,257,228,355,263,92,0.07,-263,0,0,0,263,0,0.2,284,156,128,645,865,-220,11.48,635.96,9.5,-8.98,7689.7,0.41,27.95,1.14,6.29,0.73,1250,68.67
1108,幸福,13.8,13.9,13.8,-0.3,-2.13,1025,22.16,79,0,-1,78,80,733,-653,-0.63,-733,0,0,0,733,0,0.71,110,0,110,840,297,543,6.83,322.87,-6.92,-21.38,4130.96,0.17,16.14,1.23,7.25,0.63,638,40.47
1109,信大,14.8,14.85,14.85,-0.05,-0.34,66,56.92,-5,0,-5,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,0,18.8,340.19,8.34,-21.62,4203.15,0.01,6.23,-0.15,6.06,0.35,298,34.12
1110,東泥,15.7,16,16,0,0,628,50.84,-127,0,-3,-130,84,77,7,0.01,0,0,0,0,0,0,0,40,0,40,506,553,-47,50,237.55,5.8,-10.21,2666.66,0.05,14.33,0.26,1.88,1.96,2804,57.2
1201,味全,12.4,12.45,12.45,-0.1,-0.8,408,29.9,-40,0,-7,-47,0,0,0,0,0,0,0,0,0,0,0,0,107,-107,418,311,107,31.92,1793.56,6.46,-3.42,21564.35,0.2,27.41,1.32,1.69,1.24,1567,50.61
1203,味王,42.5,42.85,42.85,-0.25,-0.58,7,28.57,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,25.21,437.7,-5.83,-12.21,5340.21,0.49,34.47,2.41,2.33,0,2,24
1210,大成,54.3,54.4,54.4,0.2,0.37,10887,64.73,-5108,5356,-15,233,8917,8790,127,0.01,5279,6591,0,0,1312,0.6,0.12,777,792,-15,1231,1343,-112,13.77,9098.46,-1.21,4.32,103978.56,0.94,14.07,2.77,5.51,0.53,1189,89.48
1213,大飲,8.34,8.42,8.43,-0.18,-2.09,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,--,22.83,-10.1,14.3,311.41,-0.37,-2,-3.29,0,--,0,5.66
1215,卜蜂,119,119.5,119,3,2.59,4463,33.09,1051,-1710,-18,-677,3092,3664,-572,-0.13,3021,3021,0,0,0,0.66,0,307,236,71,1157,658,499,12.82,2316.77,-7.75,-2.92,28841.27,1.26,17.75,3.12,5.88,0.56,410,29.48
1216,統一,73.7,73.9,73.8,0.2,0.27,9380,50.53,285,41,18,344,8353,7398,955,0.1,7831,8125,0,0,294,0.86,0.03,327,758,-431,773,1299,-526,19.95,57480.11,0.18,2.26,679885.44,1.15,33.78,4.5,4.07,0.08,1155,568.2
1217,愛之味,9.92,9.93,9.92,-0.08,-0.8,859,21.95,-119,0,-7,-126,0,0,0,0,0,0,0,0,0,0,0,100,201,-101,775,674,101,20.67,396.67,3.15,5.27,5036.36,-0.13,26.35,-0.76,2.52,1.04,1282,49.45
1218,泰山,19.35,19.4,19.35,-0.15,-0.77,1619,25.69,-394,0,-3,-397,276,663,-387,-0.24,-663,0,0,0,663,0,0.41,228,264,-36,1128,705,423,12.9,844.39,-3.2,6.37,10321.74,0.32,17.14,1.24,6.82,1.19,1491,50
1219,福壽,12.95,13,13,0,0,1025,40.85,-101,0,-5,-106,350,343,7,0.01,-86,0,0,0,86,0,0.08,197,317,-120,484,371,113,27.66,1221.79,-6.3,1.21,14422.57,0.11,7.81,-0.08,3.85,0.74,631,34.12
1220,台榮,11.95,12,11.95,0,0,70,75.71,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,0,597.5,299.35,21.09,12.32,3387.14,-0.17,7.79,-0.98,1.67,2.56,1132,17.71
1225,福懋油,29.45,29.6,29.5,-0.2,-0.67,179,30.73,-41,0,-5,-46,0,0,0,0,0,0,0,0,0,0,0,75,19,56,105,161,-56,17.25,1110.18,2.92,8.99,12346.23,0.44,9.3,2.82,3.39,11.99,7265,24.23
1227,佳格,28.85,28.9,28.85,0.4,1.41,2938,47.48,42,-1,-25,16,1617,1756,-139,-0.05,791,1068,549,826,0,0.55,0.28,341,255,86,993,940,53,19.9,1931.5,-8.11,-4.84,28668.11,0.52,23.44,2.51,4.64,0.61,1394,91.51
1229,聯華,41.95,42,42,-1,-2.33,3954,35.86,-1443,-16,-14,-1473,1060,2047,-987,-0.24,-2047,0,0,0,2047,0,0.51,353,530,-177,2622,1458,1164,16.22,604.37,-35.18,-45.4,13275.29,0.55,23.32,1.33,4.76,0.89,3996,179.6
1231,聯華食,88.9,89,89,2.1,2.42,633,67.83,141,-1,-4,136,119,42,77,0.12,119,119,0,0,0,0.18,0,130,122,8,419,504,-85,20.23,1007.99,3.52,1,13099.76,1,21.66,4,2.81,0.38,287,29.85
1232,大統益,149.5,150,149.5,0.5,0.34,154,57.62,-2,0,-1,-3,27,25,2,0.01,27,27,0,0,0,0.17,0,52,33,19,81,102,-21,17.28,1890.2,-6.41,3.12,22067.12,2.33,13.69,6.17,4.82,0.02,6,16
1233,天仁,27.65,28,27.7,-0.1,-0.36,19,63.16,2,0,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,33.78,173.25,-1.37,2.59,2192.37,0.34,61.08,2.21,0.72,0.24,54,9.06
1234,黑松,35.1,35.15,35.15,0,0,168,51.19,-52,0,16,-36,57,0,57,0.34,0,0,0,0,0,0,0,0,19,-19,113,151,-38,20.92,685.65,-5.88,-14.24,9495.82,0.29,23.95,0.62,4.69,0.02,21,40.19
1235,興泰,38.35,39.05,38.7,-0.3,-0.77,15,57.14,-1,0,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,--,14.86,-22.83,3.02,206.9,-0.54,28.55,-4.06,2.58,2.09,983,18.86
