代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,24.55,24.6,24.55,0.15,0.61,35304,46.31,6802,0,483,7285,28208,20610,7598,0.21,9923,16680,0,0,6757,0.47,0.19,1521,3951,-2430,5828,10997,-5169,--,12213.2,-1.61,-3.69,148481.34,0.1,18.72,0.4,3.26,1.7,31906,752.32
1102,亞泥,33.75,33.8,33.8,-0.2,-0.59,16309,50.08,-2308,-2194,-79,-4581,12143,13817,-1674,-0.1,-8589,1511,0,0,10100,0.09,0.62,1450,818,632,2758,1715,1043,11.34,5694.46,6.45,-9.27,68693.16,0.56,12.96,0.89,6.8,0.25,2221,354.66
1103,嘉泥,13.3,13.35,13.3,-0.15,-1.12,596,42.18,35,0,4,39,0,0,0,0,0,0,0,0,0,0,0,40,0,40,566,606,-40,20.15,207.62,-14.46,-23.55,2887.3,0.08,21.15,0.27,4.14,2.08,4100,83.29
1104,環泥,27.9,27.95,27.9,0.45,1.64,955,61.73,142,0,4,146,170,40,130,0.13,170,170,0,0,0,0.18,0,244,324,-80,556,606,-50,10.9,635.96,9.5,-8.98,7689.7,0.41,27.95,1.14,6.63,0.72,1244,68.67
1108,幸福,13.8,13.85,13.8,0.1,0.73,340,55.76,48,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,40,-40,342,302,40,6.83,322.87,-6.92,-21.38,4130.96,0.17,16.14,1.23,7.25,0.75,754,40.47
1109,信大,14.6,14.65,14.65,0.05,0.34,138,45.24,-2,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,148,0,18.54,340.19,8.34,-21.62,4203.15,0.01,6.23,-0.15,6.14,0.36,311,34.12
1110,東泥,14.5,14.6,14.6,0,0,575,87.78,18,0,11,29,387,387,0,0,-387,0,0,0,387,0,0.67,37,0,37,152,189,-37,45.63,237.55,5.8,-10.21,2666.66,0.05,14.33,0.26,2.05,2,2854,57.2
1201,味全,12.3,12.35,12.3,0.2,1.65,925,57.56,362,0,1,363,100,260,-160,-0.17,-260,0,0,0,260,0,0.28,185,0,185,659,684,-25,31.54,1793.56,6.46,-3.42,21564.35,0.2,27.41,1.32,1.71,1.07,1349,50.61
1203,味王,43.55,44.1,43.65,0.1,0.23,30,62.07,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,25.68,437.7,-5.83,-12.21,5340.21,0.49,34.47,2.41,2.29,0,2,24
1210,大成,52.4,52.5,52.5,-0.1,-0.19,2874,51.51,-11,-7,108,90,1803,1936,-133,-0.05,-1695,0,241,199,1737,0.08,0.67,303,313,-10,801,658,143,13.29,9098.46,-1.21,4.32,103978.56,0.94,14.07,2.77,5.71,0.88,1964,89.48
1213,大飲,8.2,8.51,8.5,0.19,2.29,26,57.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,--,25.4,8.92,0.97,308.55,-0.37,-2,-3.29,0,--,0,5.66
1215,卜蜂,121.5,122,121.5,-3.5,-2.8,3202,37.03,-231,-8,-1,-240,1325,2664,-1339,-0.4,-2656,0,0,0,2656,0,0.8,559,202,357,1450,468,982,13.09,2316.77,-7.75,-2.92,28841.27,1.26,17.75,3.12,5.76,0.53,387,29.48
1216,統一,73.7,73.8,73.7,1.9,2.65,18168,60.25,1039,5969,-1,7007,16625,12874,3751,0.2,16625,16625,0,0,0,0.91,0,582,1743,-1161,1113,3704,-2591,19.92,57480.11,0.18,2.26,679885.44,1.15,33.78,4.5,4.07,0.08,1116,568.2
1217,愛之味,9.82,9.83,9.82,0.1,1.03,916,67.95,296,0,1,297,0,111,-111,-0.12,0,0,0,0,0,0,0,184,0,184,745,818,-73,20.46,396.67,3.15,5.27,5036.36,-0.13,26.35,-0.76,2.55,1.06,1314,49.45
1218,泰山,19.3,19.35,19.3,0.55,2.93,2202,65.11,1087,0,0,1087,520,136,384,0.17,520,520,0,0,0,0.23,0,598,174,424,1105,1913,-808,12.87,844.39,-3.2,6.37,10321.74,0.32,17.14,1.24,6.84,1.12,1405,50
1219,福壽,12.7,12.75,12.7,0.05,0.4,710,35.7,277,0,8,285,0,170,-170,-0.24,0,0,0,0,0,0,0,352,142,210,365,405,-40,27.02,1221.79,-6.3,1.21,14422.57,0.11,7.81,-0.08,3.94,0.65,558,34.12
1220,台榮,11.65,11.7,11.7,0.05,0.43,166,29.19,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,50,0,50,133,183,-50,585,299.35,21.09,12.32,3387.14,-0.17,7.79,-0.98,1.71,2.55,1127,17.71
1225,福懋油,29.7,29.9,29.7,0.45,1.54,236,63.4,124,0,-13,111,0,0,0,0,0,0,0,0,0,0,0,19,0,19,222,241,-19,17.37,1110.18,2.92,8.99,12346.23,0.44,9.3,2.82,3.37,11.8,7145,24.23
1227,佳格,28.2,28.25,28.2,0.25,0.89,2448,51.6,964,-541,6,429,1335,1206,129,0.05,1165,1165,0,0,0,0.47,0,402,471,-69,730,790,-60,19.45,1931.5,-8.11,-4.84,28668.11,0.52,23.44,2.51,4.75,0.52,1194,91.51
1229,聯華,40.35,40.4,40.4,0.5,1.25,3345,66.18,351,34,6,391,1374,1169,205,0.06,1374,1374,0,0,0,0.4,0,509,630,-121,1546,1631,-85,15.6,604.37,-35.18,-45.4,13275.29,0.55,23.32,1.33,4.95,0.7,3139,179.6
1231,聯華食,86,86.1,86,0.5,0.58,538,56.9,244,0,2,246,221,123,98,0.17,-3,78,15,0,96,0.16,0.17,79,127,-48,274,324,-50,19.55,1007.99,3.52,1,13099.76,1,21.66,4,2.91,0.36,265,29.85
1232,大統益,147.5,148,147.5,0,0,332,32.73,-134,0,1,-133,91,239,-148,-0.44,-185,36,0,0,221,0.11,0.65,49,34,15,200,67,133,17.05,1890.2,-6.41,3.12,22067.12,2.33,13.69,6.17,4.88,0.02,7,16
1233,天仁,27.75,28,27.8,-0.2,-0.71,44,43.18,-6,0,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,33.9,173.25,-1.37,2.59,2192.37,0.34,61.08,2.21,0.72,0.21,47,9.06
1234,黑松,34.5,34.55,34.55,0.15,0.44,129,60,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,131,0,20.57,685.65,-5.88,-14.24,9495.82,0.29,23.95,0.62,4.78,0.02,20,40.19
1235,興泰,40.6,41.5,41.1,0,0,324,95.68,11,0,0,11,300,300,0,0,300,300,0,0,0,0.93,0,0,0,0,24,24,0,--,14.86,-22.83,3.02,206.9,-0.54,28.55,-4.06,2.43,2.11,993,18.86
