代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,24.2,24.25,24.25,0.35,1.46,31837,48.31,-1379,145,314,-920,25247,25097,150,0,10140,17953,0,0,7813,0.56,0.24,1514,1826,-312,5201,5040,161,--,12612.01,3.27,-0.06,148473.86,0.1,18.72,0.4,3.3,1.72,32302,752.32
1102,亞泥,34.5,34.55,34.5,0.1,0.29,16359,52.58,-4557,-24,182,-4399,14634,13735,899,0.05,11956,13080,760,782,1102,0.84,0.11,465,647,-182,1293,2009,-716,11.58,6296.53,10.57,-1.16,68619.52,0.56,12.96,0.89,6.67,0.26,2334,354.66
1103,嘉泥,13.35,13.45,13.45,0,0,263,62.65,63,0,16,79,0,0,0,0,0,0,0,0,0,0,0,50,45,5,220,225,-5,20.38,230.49,11.01,-7.5,2868.6,0.08,21.15,0.27,4.09,2.11,4178,83.29
1104,環泥,29,29.1,29,0,0,1040,31.39,-354,0,46,-308,232,363,-131,-0.13,-363,0,0,0,363,0,0.35,189,158,31,626,527,99,11.33,655.82,3.12,1.98,7702.41,0.41,27.95,1.14,6.38,0.89,1536,68.67
1108,幸福,13.65,13.7,13.65,0.05,0.37,281,42.29,-29,0,1,-28,0,0,0,0,0,0,0,0,0,0,0,40,40,0,242,242,0,6.76,335.1,3.79,-13.76,4077.49,0.17,16.14,1.23,7.33,0.49,500,40.47
1109,信大,14.6,14.65,14.6,0,0,108,55.24,35,0,8,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113,0,18.48,348.18,2.35,-14.51,4144.04,0.01,6.23,-0.15,6.16,0.36,305,34.12
1110,東泥,15.35,15.4,15.4,0,0,184,43.96,68,0,10,78,0,0,0,0,0,0,0,0,0,0,0,0,34,-34,186,152,34,48.13,233.65,-1.64,-10.65,2638.81,0.05,14.33,0.26,1.95,1.9,2714,57.2
1201,味全,12.35,12.4,12.4,0,0,326,35.96,-36,0,12,-24,0,0,0,0,0,0,0,0,0,0,0,44,43,1,287,288,-1,31.79,1825.31,1.77,-5.08,21466.63,0.2,27.41,1.32,1.69,1.23,1555,50.61
1203,味王,42.1,42.8,42.75,1.05,2.52,33,61.29,6,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,25.15,432.67,-1.15,-10.05,5291.88,0.49,34.47,2.41,2.34,0,2,24
1210,大成,55.4,55.7,55.7,0.3,0.54,6931,72.17,-3740,4338,42,640,5779,5285,494,0.07,-1965,39,3281,2854,2431,0.48,0.76,326,571,-245,863,1112,-249,14.1,9065.71,-0.36,10.16,104814.75,0.94,14.07,2.77,5.39,0.41,928,89.48
1213,大飲,8.31,8.35,8.32,-0.08,-0.95,7,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,--,22.83,-10.1,14.3,311.41,-0.37,-2,-3.29,0,--,0,5.66
1215,卜蜂,117.5,118,117.5,-0.5,-0.42,3209,18.83,1348,-1702,8,-346,2496,2906,-410,-0.13,-2906,0,0,11,2895,0,0.9,233,78,155,510,254,256,12.66,2488.78,7.42,1.65,28881.78,1.26,17.75,3.12,5.96,0.54,397,29.48
1216,統一,75.5,75.6,75.6,1.2,1.61,14411,63.23,6667,295,734,7696,13429,9885,3544,0.24,13303,13303,0,0,0,0.91,0,556,1331,-775,601,3370,-2769,20.43,59180.34,2.96,2.7,681440.26,1.15,33.78,4.5,3.97,0.08,1108,568.2
1217,愛之味,9.83,9.86,9.86,-0.01,-0.1,672,37.07,109,0,12,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,681,0,20.54,376.36,-5.12,-14.61,4971.99,-0.13,26.35,-0.76,2.54,0.6,736,49.45
1218,泰山,19.15,19.2,19.2,-0.15,-0.78,3099,30.97,-585,0,12,-573,540,1933,-1393,-0.45,-1933,0,0,0,1933,0,0.62,425,503,-78,2157,686,1471,12.8,821.02,-2.77,-1.42,10309.88,0.32,17.14,1.24,6.88,1.25,1563,50
1219,福壽,12.5,12.55,12.5,0,0,201,40.4,-27,0,20,-7,0,0,0,0,0,0,0,0,0,0,0,50,41,9,155,164,-9,26.6,1115.08,-8.73,-6.86,14340.45,0.11,7.81,-0.08,4,0.69,588,34.12
