代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,23.95,24,23.95,0.1,0.42,27252,47.11,-7119,55,-8,-7072,22453,22565,-112,0,22334,22379,0,0,45,0.82,0,1089,1095,-6,3813,3695,118,--,12213.2,-1.61,-3.69,148481.34,0.1,18.72,0.4,3.34,1.8,33762,752.32
1102,亞泥,33.9,33.95,33.9,0.15,0.44,13133,52.15,-5836,8,-91,-5919,10619,11954,-1335,-0.1,10438,10619,0,0,181,0.81,0.01,750,387,363,1797,827,970,11.38,5694.46,6.45,-9.27,68693.16,0.56,12.96,0.89,6.78,0.29,2527,354.66
1103,嘉泥,13.35,13.4,13.4,0.2,1.52,551,36.21,-4,0,25,21,76,97,-21,-0.04,76,76,0,0,0,0.14,0,175,104,71,307,357,-50,20.3,207.62,-14.46,-23.55,2887.3,0.08,21.15,0.27,4.1,2.09,4136,83.29
1104,環泥,29.05,29.1,29.05,0.15,0.52,818,62.6,-169,0,-22,-191,178,102,76,0.09,178,178,0,0,0,0.22,0,144,109,35,504,615,-111,11.35,635.96,9.5,-8.98,7689.7,0.41,27.95,1.14,6.37,0.84,1442,68.67
1108,幸福,13.75,13.8,13.75,0.15,1.1,459,48.98,33,0,-1,32,0,0,0,0,0,0,0,0,0,0,0,147,189,-42,316,274,42,6.81,335.1,3.79,-13.76,4077.49,0.17,16.14,1.23,7.27,0.49,498,40.47
1109,信大,14.6,14.65,14.65,0.05,0.34,158,47.86,-41,0,-7,-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,161,0,18.54,340.19,8.34,-21.62,4203.15,0.01,6.23,-0.15,6.14,0.35,300,34.12
1110,東泥,15.35,15.4,15.4,0,0,236,52.94,-56,0,1,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,237,0,48.13,237.55,5.8,-10.21,2666.66,0.05,14.33,0.26,1.95,1.89,2708,57.2
1201,味全,12.25,12.3,12.25,-0.05,-0.41,558,38,26,0,-10,16,0,0,0,0,0,0,0,0,0,0,0,132,165,-33,435,402,33,31.41,1793.56,6.46,-3.42,21564.35,0.2,27.41,1.32,1.71,1.22,1549,50.61
1203,味王,42,42.4,42,-0.35,-0.83,33,72.41,-20,0,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,24.71,437.7,-5.83,-12.21,5340.21,0.49,34.47,2.41,2.38,0.01,3,24
1210,大成,54.4,54.5,54.5,0.5,0.93,8722,75.36,-2551,4990,-265,2174,7595,6486,1109,0.13,7501,7564,0,0,63,0.86,0.01,394,707,-313,766,1562,-796,13.8,9065.71,-0.36,10.16,104814.75,0.94,14.07,2.77,5.5,0.44,989,89.48
