代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,24.45,24.5,24.45,-0.4,-1.61,37046,32.09,-17408,359,-67,-17116,25156,32453,-7297,-0.2,-31573,416,0,0,31989,0.01,0.86,3254,1041,2213,8795,3711,5084,--,12213.2,-1.61,-3.69,148481.34,0.1,18.72,0.4,3.27,1.73,32536,752.32
1102,亞泥,34.35,34.4,34.35,0.15,0.44,13831,58.37,-786,-8,-19,-813,10754,10147,607,0.04,7238,9193,0,0,1955,0.66,0.14,1332,1376,-44,1793,2355,-562,11.53,5694.46,6.45,-9.27,68693.16,0.56,12.96,0.89,6.7,0.27,2382,354.66
1103,嘉泥,13.6,13.65,13.65,0.1,0.74,375,55.61,166,0,4,170,0,0,0,0,0,0,0,0,0,0,0,90,41,49,292,341,-49,20.68,207.62,-14.46,-23.55,2887.3,0.08,21.15,0.27,4.03,2.09,4136,83.29
1104,環泥,29.15,29.25,29.25,0.55,1.92,1335,57.66,-113,0,266,153,412,122,290,0.22,412,412,0,0,0,0.31,0,151,273,-122,785,953,-168,11.43,635.96,9.5,-8.98,7689.7,0.41,27.95,1.14,6.32,0.74,1274,68.67
1108,幸福,14.1,14.15,14.1,0.1,0.71,373,59.83,-70,0,23,-47,0,0,0,0,0,0,0,0,0,0,0,62,98,-36,314,278,36,6.98,322.87,-6.92,-21.38,4130.96,0.17,16.14,1.23,7.09,0.59,592,40.47
1109,信大,14.85,14.9,14.9,0.05,0.34,110,59.26,-11,0,3,-8,0,0,0,0,0,0,0,0,0,0,0,0,34,-34,118,84,34,18.86,340.19,8.34,-21.62,4203.15,0.01,6.23,-0.15,6.04,0.35,302,34.12
1110,東泥,15.95,16,16,0.05,0.31,1122,44.71,-242,0,1,-241,117,137,-20,-0.02,-20,0,117,137,0,0.1,0.12,208,214,-6,799,773,26,50,237.55,5.8,-10.21,2666.66,0.05,14.33,0.26,1.88,1.89,2704,57.2
1201,味全,12.55,12.6,12.55,0,0,791,36.88,-342,0,3,-339,120,0,120,0.15,120,120,0,0,0,0.15,0,70,267,-197,618,541,77,32.18,1793.56,6.46,-3.42,21564.35,0.2,27.41,1.32,1.67,1.24,1565,50.61
1203,味王,43,43.25,43.1,-0.95,-2.16,6,33.33,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,25.35,437.7,-5.83,-12.21,5340.21,0.49,34.47,2.41,2.32,0,2,24
1210,大成,54.2,54.3,54.2,0.5,0.93,10021,64.7,-4126,5342,23,1239,7933,7244,689,0.07,7906,7906,0,0,0,0.78,0,815,773,42,1327,2057,-730,13.72,9098.46,-1.21,4.32,103978.56,0.94,14.07,2.77,5.54,0.54,1215,89.48
