代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,24.85,24.9,24.85,0.2,0.81,45048,58.95,5592,41,211,5844,34437,28581,5856,0.13,25665,29602,0,0,3937,0.65,0.09,2612,4579,-1967,8274,12163,-3889,--,12213.2,-1.61,-3.69,148481.34,0.1,18.72,0.4,3.22,1.72,32311,752.32
1102,亞泥,34.15,34.2,34.2,0.4,1.18,16760,61.38,-5668,-943,69,-6542,12074,13443,-1369,-0.08,6844,10404,0,0,3560,0.62,0.21,1492,1095,397,3229,2257,972,11.48,5694.46,6.45,-9.27,68693.16,0.56,12.96,0.89,6.73,0.27,2407,354.66
1103,嘉泥,13.5,13.55,13.55,0.3,2.26,642,74.73,98,0,2,100,0,0,0,0,0,0,0,0,0,0,0,123,0,123,531,654,-123,20.53,207.62,-14.46,-23.55,2887.3,0.08,21.15,0.27,4.06,2.07,4083,83.29
1104,環泥,28.7,28.8,28.7,0.1,0.35,1015,42.11,-268,0,-24,-292,75,85,-10,-0.01,75,75,0,0,0,0.07,0,190,239,-49,764,705,59,11.21,635.96,9.5,-8.98,7689.7,0.41,27.95,1.14,6.45,0.75,1283,68.67
1108,幸福,13.95,14.05,14,0.2,1.45,547,74.01,222,0,0,222,74,185,-111,-0.2,74,74,0,0,0,0.13,0,58,47,11,419,319,100,6.93,322.87,-6.92,-21.38,4130.96,0.17,16.14,1.23,7.14,0.69,701,40.47
1109,信大,14.85,14.9,14.85,0.2,1.37,244,62.08,26,0,1,27,0,0,0,0,0,0,0,0,0,0,0,39,0,39,211,250,-39,18.8,340.19,8.34,-21.62,4203.15,0.01,6.23,-0.15,6.06,0.36,306,34.12
1110,東泥,15.95,--,15.95,1.45,10,1373,92.39,52,0,-3,49,591,767,-176,-0.13,591,591,0,0,0,0.43,0,109,137,-28,677,473,204,49.84,237.55,5.8,-10.21,2666.66,0.05,14.33,0.26,1.88,1.86,2661,57.2
1201,味全,12.55,12.6,12.55,0.35,2.87,1217,68.65,141,0,3,144,0,100,-100,-0.08,0,0,0,0,0,0,0,287,117,170,943,1013,-70,32.18,1793.56,6.46,-3.42,21564.35,0.2,27.41,1.32,1.67,1.24,1567,50.61
1203,味王,43.2,44.05,44.05,-0.1,-0.23,1,100,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,25.91,437.7,-5.83,-12.21,5340.21,0.49,34.47,2.41,2.27,0,2,24
1210,大成,53.7,53.8,53.7,0.9,1.7,11072,66.21,-4830,5330,264,764,8558,8028,530,0.05,7859,8056,502,699,0,0.77,0.06,893,1011,-118,1686,2098,-412,13.59,9098.46,-1.21,4.32,103978.56,0.94,14.07,2.77,5.59,0.51,1152,89.48
1213,大飲,8.18,8.47,8.63,0.19,2.25,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,--,25.4,8.92,0.97,308.55,-0.37,-2,-3.29,0,--,0,5.66
1215,卜蜂,114,114.5,114,-3.5,-2.98,6201,27.8,1419,-1755,-34,-370,3997,5449,-1452,-0.23,-5449,0,0,0,5449,0,0.85,502,341,161,1925,635,1290,12.28,2316.77,-7.75,-2.92,28841.27,1.26,17.75,3.12,6.14,0.53,392,29.48
1216,統一,73.3,73.4,73.3,-0.9,-1.21,15714,52.21,-6640,4758,-32,-1914,12572,14042,-1470,-0.09,-13931,97,14,16,14026,0.01,0.89,963,596,367,2262,1159,1103,19.81,57480.11,0.18,2.26,679885.44,1.15,33.78,4.5,4.09,0.09,1309,568.2
1217,愛之味,10,10.05,10,0.16,1.63,2961,75.22,1545,0,1,1546,949,1291,-342,-0.11,197,409,540,752,0,0.32,0.25,583,314,269,1447,1374,73,20.83,396.67,3.15,5.27,5036.36,-0.13,26.35,-0.76,2.5,1.13,1392,49.45
1218,泰山,19.55,19.65,19.6,0.2,1.03,1612,53.1,525,0,2,527,259,195,64,0.04,136,205,0,0,69,0.13,0.04,475,232,243,897,1204,-307,13.07,844.39,-3.2,6.37,10321.74,0.32,17.14,1.24,6.73,1.09,1357,50
1219,福壽,12.85,12.9,12.9,0.15,1.18,651,75.51,-9,0,2,-7,0,0,0,0,0,0,0,0,0,0,0,79,44,35,581,616,-35,27.45,1221.79,-6.3,1.21,14422.57,0.11,7.81,-0.08,3.88,0.67,568,34.12
1220,台榮,11.9,11.95,11.9,0.15,1.28,135,54.69,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,147,0,595,299.35,21.09,12.32,3387.14,-0.17,7.79,-0.98,1.68,2.54,1124,17.71
1225,福懋油,29.65,29.75,29.65,0.05,0.17,119,50.42,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,122,0,17.34,1110.18,2.92,8.99,12346.23,0.44,9.3,2.82,3.37,11.8,7146,24.23
1227,佳格,28.4,28.45,28.4,0.45,1.61,5821,55.15,2707,0,-30,2677,3691,4463,-772,-0.13,2652,2979,712,1039,0,0.63,0.18,497,438,59,1653,940,713,19.59,1931.5,-8.11,-4.84,28668.11,0.52,23.44,2.51,4.72,0.54,1228,91.51
1229,聯華,43.9,43.95,43.95,0.75,1.74,13494,46.31,-2474,-12,27,-2459,4017,5462,-1445,-0.11,1887,3198,27,0,1338,0.24,0.1,1628,2043,-415,8008,6149,1859,16.97,604.37,-35.18,-45.4,13275.29,0.55,23.32,1.33,4.55,0.83,3747,179.6
1231,聯華食,86.6,86.8,86.7,0.6,0.7,458,52.55,-72,0,-2,-74,35,81,-46,-0.09,23,35,0,0,12,0.07,0.02,114,106,8,337,300,37,19.7,1007.99,3.52,1,13099.76,1,21.66,4,2.88,0.36,268,29.85
1232,大統益,148,148.5,148,0,0,104,70.41,18,0,0,18,38,27,11,0.1,17,24,0,0,7,0.22,0.06,4,17,-13,67,65,2,17.11,1890.2,-6.41,3.12,22067.12,2.33,13.69,6.17,4.86,0.02,7,16
1233,天仁,27.6,27.7,27.6,0,0,57,43.86,-11,0,0,-11,0,0,0,0,0,0,0,0,0,0,0,19,0,19,39,58,-19,33.66,173.25,-1.37,2.59,2192.37,0.34,61.08,2.21,0.72,0.24,54,9.06
1234,黑松,35,35.1,35,0.1,0.29,173,32.16,-17,0,0,-17,32,0,32,0.18,32,32,0,0,0,0.18,0,20,21,-1,127,158,-31,20.83,685.65,-5.88,-14.24,9495.82,0.29,23.95,0.62,4.71,0.02,21,40.19
1235,興泰,39.8,39.85,40.25,-0.7,-1.71,21,61.11,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,--,14.86,-22.83,3.02,206.9,-0.54,28.55,-4.06,2.48,2.08,981,18.86
1236,宏亞,25,25.05,25.05,0.35,1.42,48,95.45,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0,--,122.25,18.38,-2.44,1839.97,0.23,28.09,0.8,6.59,0.6,129,8.67
1240,茂生農經,57.2,57.3,57.2,0,0,11,27.27,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,12.25,236.45,-11.88,11.59,2774.69,0.89,12.79,2.4,6.12,0.2,22,4.42
1256,鮮活果汁-KY,201.5,202.5,201.5,-1.5,-0.74,212,41.23,-21,0,0,-21,57,95,-38,-0.17,-54,24,0,6,72,0.11,0.36,64,41,23,97,82,15,15.22,455.56,27.91,56.21,4684.7,3.24,30.39,2.85,3.28,4.92,440,3.58
1259,安心,57.3,57.8,57.8,0.1,0.17,13,76.92,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,25.8,488.5,-5.66,1.96,6125.47,0.06,22.76,0.07,2.08,0.53,43,3.24
1264,德麥,266,267,266.5,-0.5,-0.19,43,31.71,-9,0,0,-9,6,4,2,0.04,-4,0,0,0,4,0,0.07,10,17,-7,38,32,6,12.83,630.34,12.03,11.03,6848.17,5.5,33.22,5.4,5.63,0.01,1,3.71
1268,漢來美食,169.5,170.5,170.5,1.5,0.89,35,68.57,16,0,0,16,0,6,-6,-0.16,0,0,0,0,0,0,0,18,9,9,19,22,-3,14.7,514.78,-11.85,25.42,6584.17,5.87,48.89,10.21,4.69,0.22,23,4.22
1294,漢田生技,78.6,79.2,79,1,1.28,21,100,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,16.16,76.65,0.71,5.99,836.25,1.41,36.8,5.01,6.33,2.03,155,3.06
1295,生合,50.1,50.3,50.2,1.7,3.51,172,44.64,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,33,-18,161,143,18,11.54,104.39,31.5,-10.24,1007.57,0.39,47.44,1.03,5.98,1.91,165,3.45
1301,台塑,52,52.1,52,1.1,2.16,49625,55.32,20228,-1,130,20357,38832,30457,8375,0.17,35277,36747,1317,1578,1209,0.76,0.06,3616,6936,-3320,7534,12588,-5054,--,18326.27,5.6,13.31,172347.64,0.51,3.7,0.87,0.96,1.17,18565,636.57
1303,南亞,113,113.5,113,0.5,0.44,77073,52.15,-1466,3087,-533,1088,60941,63474,-2533,-0.03,-30394,2979,27384,26785,33972,0.39,0.78,6563,5817,746,10317,8531,1786,48.92,27681.31,1.89,19.44,267452.16,1.8,11.94,3.8,0.71,2.38,47103,793.08
1304,台聚,14.25,14.3,14.3,1,7.52,18511,60.79,803,0,1275,2078,9513,6151,3362,0.18,9513,9513,0,0,0,0.51,0,2215,2922,-707,6853,9508,-2655,--,4412.98,2.14,13.41,43289.29,-0.41,2.86,-2.76,1.05,4.49,13344,118.88
1305,華夏,13.9,13.95,13.9,0.8,6.11,7961,61.42,213,0,191,404,1675,1575,100,0.01,1675,1675,0,0,0,0.21,0,1665,885,780,4680,5560,-880,--,1192.32,10.17,43.35,9792.91,-0.21,1.97,-1.65,0.72,5.03,7302,58.11
1307,三芳,34,34.05,34,0.85,2.56,2693,67.11,983,-19,13,977,793,629,164,0.06,342,606,0,0,264,0.22,0.1,583,369,214,1334,1712,-378,12.41,981.26,-2.95,8.54,10913.96,0.97,32.59,3.89,6.47,1.67,1658,39.78
1308,亞聚,14.4,14.45,14.4,0.55,3.97,6154,56.22,95,0,25,120,1542,1457,85,0.01,1542,1542,0,0,0,0.25,0,1117,981,136,3524,3745,-221,--,512.06,7.43,16.25,5583.33,-0.2,5.66,-1.13,1.39,5.54,8223,59.37
1309,台達化,17.65,17.7,17.7,1.15,6.95,14007,55.85,767,0,140,907,4773,4372,401,0.03,4541,4592,181,232,0,0.34,0.02,2840,2062,778,6457,7636,-1179,--,1262.51,-8.29,-8.24,13474.16,-0.53,-1.76,-3.69,0.85,8.87,8816,39.76
1310,台苯,9.51,--,9.51,0.86,9.94,11485,89.93,2208,0,61,2269,6109,2640,3469,0.3,6109,6109,0,0,0,0.53,0,1349,2156,-807,4075,6737,-2662,--,891.39,4.31,5.29,8608.64,-0.94,8.94,-6.61,0,10.22,13490,52.79
1312,國喬,14.55,--,14.55,1.3,9.81,17982,100,-2420,0,-154,-2574,11160,10973,187,0.01,11160,11160,0,0,0,0.62,0,2027,2649,-622,4872,4438,434,--,2489.49,-19.98,-5.46,24371.95,-1.17,-1.73,-4.14,0,5.48,15156,110.66
1313,聯成,11.85,11.9,11.9,0.75,6.73,19135,58.44,-2386,0,64,-2322,10740,9630,1110,0.06,10404,10740,0,336,0,0.56,0.02,2166,2251,-85,6271,7297,-1026,--,5878.67,-9.41,5.52,60418.9,0.08,6.21,0.35,0.84,3.55,11987,133.08
1314,中石化,8.07,8.08,8.08,0.55,7.3,179828,69.21,-4906,0,879,-4027,92145,95361,-3216,-0.02,90556,91584,561,1589,0,0.51,0.01,20702,24573,-3871,67305,60219,7086,--,1556.46,10.83,-10.37,16626.02,-0.07,-7.12,-0.34,0,5.28,49970,378.49
1315,達新,62,62.6,62.1,-0.5,-0.8,26,46.15,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,41.96,131.51,3.46,-14.17,2120.3,0.15,11,0.14,7.25,0.06,15,9.91
1316,上曜,10.6,10.65,10.65,0.35,3.4,3810,56.28,692,0,0,692,209,193,16,0,209,209,0,0,0,0.05,0,1041,796,245,2581,2842,-261,--,683.94,4.3,115.49,5968.9,-0.19,32.15,0.3,0,11.88,11163,40.16
1319,東陽,94.3,94.4,94.3,2.2,2.39,14884,57.75,-3200,3337,287,424,10073,9388,685,0.05,9636,9732,330,377,49,0.67,0.03,1360,1724,-364,3547,3869,-322,16.93,2009.03,-1.78,-14.11,23102.93,1.62,32.51,3.22,5.3,4.16,6145,59.15
1321,大洋,29.2,29.25,29.2,0.75,2.64,309,67.96,56,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,310,0,--,352.11,-5.51,10.96,3493.27,0.16,11.97,0.61,0,12.55,7129,22.72
1323,永裕,20.35,20.4,20.4,-0.05,-0.24,84,39.29,-10,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,0,36.43,186.58,-8.1,5.09,2034.03,0.36,18.63,1.26,4.41,1.2,274,9.13
1324,地球,10.75,10.8,10.8,0.4,3.85,335,66.07,36,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,342,0,--,51.22,-29.76,-24.22,702.64,-0.06,16.15,-0.5,0,7.33,1377,7.51
