代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,24.7,24.75,24.7,-0.25,-1,24841,43.7,-13902,0,70,-13832,19160,20321,-1161,-0.05,-18179,44,0,0,18223,0,0.73,1135,1033,102,4663,3604,1059,--,12213.2,-1.61,-3.69,148481.34,0.1,18.72,0.4,3.24,1.71,32218,752.32
1102,亞泥,35.25,35.3,35.3,0.7,2.02,9706,55.05,3162,-391,-290,2481,7953,5098,2855,0.29,7544,7804,149,274,135,0.82,0.04,719,1434,-715,1075,3216,-2141,12.47,5694.46,6.45,-9.27,68693.16,0.58,15.16,5,6.52,0.16,1412,354.66
1103,嘉泥,13.2,13.25,13.2,-0.1,-0.75,396,23.8,-119,0,-1,-120,91,0,91,0.22,0,0,0,0,0,0,0,0,163,-163,315,243,72,20,207.62,-14.46,-23.55,2887.3,0.08,21.15,0.27,4.17,2.06,4073,79.02
1104,環泥,28,28.05,28.05,-0.15,-0.53,1089,30.84,-324,0,0,-324,144,609,-465,-0.42,-447,83,0,0,530,0.07,0.48,210,142,68,759,362,397,10.96,635.96,9.5,-8.98,7689.7,0.76,23.22,7.29,6.6,0.59,1014,68.67
1108,幸福,14.05,14.1,14.1,-0.1,-0.7,646,25.8,-115,0,0,-115,83,93,-10,-0.02,-93,0,0,0,93,0,0.14,50,229,-179,516,327,189,6.91,322.87,-6.92,-21.38,4130.96,0.17,16.14,1.23,7.17,0.77,784,40.47
1109,信大,15.35,15.45,15.4,0.1,0.65,82,22.86,-6,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,0,19.49,340.19,8.34,-21.62,4203.15,0.01,6.23,-0.15,5.84,0.47,400,34.12
1110,東泥,14.4,14.5,14.4,-0.6,-4,356,27.89,-28,0,-1,-29,0,105,-105,-0.29,-105,0,0,0,105,0,0.29,109,50,59,247,201,46,40,237.55,5.8,-10.21,2666.66,0.07,15.03,2.38,2.08,1.93,2764,57.2
1201,味全,12.2,12.25,12.25,0.1,0.82,337,39.76,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,345,0,31.41,1793.56,6.46,-3.42,21564.35,0.2,27.41,1.32,1.71,1.09,1385,50.61
1203,味王,42.7,43,42.85,-0.05,-0.12,20,57.89,-6,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,25.09,437.7,-5.83,-12.21,5340.21,0.49,34.47,2.41,2.34,0.01,6,24
1210,大成,52.2,52.4,52.3,0.2,0.38,1679,46.94,158,-107,-4,47,963,1034,-71,-0.04,876,876,0,0,0,0.51,0,281,231,50,462,441,21,12.91,9098.46,-1.21,4.32,103978.56,1.66,14.68,12.25,5.74,0.83,1850,89.48
1213,大飲,8.44,8.78,8.7,0,0,8,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,--,25.4,8.92,0.97,308.55,-0.37,-2,-3.29,0,--,0,5.66
1215,卜蜂,135,135.5,135.5,0.5,0.37,892,72.93,-369,14,36,-319,618,600,18,0.02,189,307,241,291,68,0.6,0.39,67,101,-34,236,220,16,14.6,2316.77,-7.75,-2.92,28841.27,1.26,17.75,3.12,5.17,0.38,278,29.48
1216,統一,75.1,75.2,75.2,2.1,2.87,24598,53.43,13102,1040,-493,13649,23537,15902,7635,0.31,23312,23287,250,225,0,0.95,0.01,446,2700,-2254,879,6260,-5381,20.32,57480.11,0.18,2.26,679885.44,1.15,33.78,4.5,3.99,0.09,1224,568.2
