代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,23.65,23.7,23.65,-0.2,-0.84,35659,27.99,-16495,0,52,-16443,27916,28679,-763,-0.02,-8747,8645,0,0,17392,0.24,0.49,1204,1837,-633,6707,5311,1396,--,12213.2,-1.61,-3.69,148481.34,0.1,18.72,0.4,3.38,1.75,32884,752.32
1102,亞泥,32.4,32.45,32.4,-0.6,-1.82,23743,36.52,-12120,-1461,25,-13556,13009,22002,-8993,-0.38,-20690,535,151,305,21071,0.03,0.9,2617,529,2088,8233,1328,6905,10.87,5694.46,6.45,-9.27,68693.16,0.56,12.96,0.89,7.1,0.28,2523,354.66
1103,嘉泥,13.2,13.25,13.2,0,0,288,57.95,44,0,-19,25,78,0,78,0.26,0,0,0,0,0,0,0,0,51,-51,219,246,-27,20,207.62,-14.46,-23.55,2887.3,0.08,21.15,0.27,4.17,2.08,4114,83.29
1104,環泥,27.15,27.2,27.2,0,0,782,37.5,-251,0,0,-251,45,70,-25,-0.03,-70,0,0,0,70,0,0.09,108,152,-44,644,575,69,10.63,635.96,9.5,-8.98,7689.7,0.41,27.95,1.14,6.8,0.71,1211,68.67
1108,幸福,13.5,13.55,13.55,0.05,0.37,382,59.47,96,0,0,96,100,0,100,0.26,100,0,100,0,0,0.26,0,130,105,25,155,280,-125,6.71,322.87,-6.92,-21.38,4130.96,0.17,16.14,1.23,7.38,0.76,766,40.47
1109,信大,14.4,14.45,14.45,0,0,129,53.91,-13,0,-1,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,134,0,18.29,340.19,8.34,-21.62,4203.15,0.01,6.23,-0.15,6.23,0.36,311,34.12
1110,東泥,13.95,14,14,-0.1,-0.71,118,67.82,26,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,119,0,43.75,237.55,5.8,-10.21,2666.66,0.05,14.33,0.26,2.14,1.95,2790,57.2
1201,味全,12,12.1,12,-0.1,-0.83,399,42.34,68,0,-2,66,0,0,0,0,0,0,0,0,0,0,0,0,60,-60,412,352,60,30.77,1793.56,6.46,-3.42,21564.35,0.2,27.41,1.32,1.75,1.08,1361,50.61
1203,味王,42.25,42.6,43,0.3,0.7,14,53.85,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,25.29,437.7,-5.83,-12.21,5340.21,0.49,34.47,2.41,2.33,0.01,5,24
1210,大成,51.8,51.9,51.8,0.1,0.19,1948,43.8,-390,-8,5,-393,924,1250,-326,-0.16,597,597,0,0,0,0.3,0,277,299,-22,780,432,348,13.11,9098.46,-1.21,4.32,103978.56,0.94,14.07,2.77,5.79,0.87,1954,89.48
1213,大飲,8.07,8.16,8.16,-0.13,-1.57,14,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,--,25.4,8.92,0.97,308.55,-0.37,-2,-3.29,0,--,0,5.66
