代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,24.05,24.1,24.05,-0.05,-0.21,31632,43.62,-17029,0,176,-16853,22853,26697,-3844,-0.12,-25230,45,0,0,25275,0,0.79,1558,1241,317,7398,3870,3528,--,12213.2,-1.61,-3.69,148481.34,0.1,18.72,0.4,3.33,1.66,31175,752.32
1102,亞泥,34.35,34.4,34.35,0,0,9014,42.17,-3580,-1,-20,-3601,7043,8067,-1024,-0.11,2293,5170,0,0,2877,0.57,0.32,562,347,215,1436,627,809,11.53,5694.46,6.45,-9.27,68693.16,0.56,12.96,0.89,6.7,0.16,1416,354.66
1103,嘉泥,12.9,12.95,12.9,-0.05,-0.39,388,47.93,-200,0,-3,-203,0,0,0,0,0,0,0,0,0,0,0,107,121,-14,286,272,14,19.55,207.62,-14.46,-23.55,2887.3,0.08,21.15,0.27,4.26,2.09,4132,79.02
1104,環泥,27.35,27.4,27.35,0,0,498,38.46,-118,0,-12,-130,0,43,-43,-0.08,-43,0,0,0,43,0,0.08,81,42,39,436,432,4,10.68,635.96,9.5,-8.98,7689.7,0.41,27.95,1.14,6.76,0.61,1039,68.67
1108,幸福,13.7,13.75,13.7,-0.15,-1.08,406,46.65,56,0,0,56,0,90,-90,-0.22,-90,0,0,0,90,0,0.22,84,110,-26,327,211,116,6.78,322.87,-6.92,-21.38,4130.96,0.17,16.14,1.23,7.3,0.9,906,40.47
1109,信大,14.5,14.6,14.6,-0.25,-1.68,464,19.74,-151,0,-14,-165,0,0,0,0,0,0,0,0,0,0,0,0,84,-84,493,409,84,18.48,340.19,8.34,-21.62,4203.15,0.01,6.23,-0.15,6.16,0.49,414,34.12
1110,東泥,14.05,14.2,14.2,0,0,312,54.81,-122,0,0,-122,74,0,74,0.24,0,0,0,0,0,0,0,97,38,59,141,274,-133,44.38,237.55,5.8,-10.21,2666.66,0.05,14.33,0.26,2.11,1.94,2772,57.2
1201,味全,12,12.05,12,-0.05,-0.41,531,39.09,16,0,0,16,0,115,-115,-0.21,-115,0,0,0,115,0,0.21,58,52,6,496,387,109,30.77,1793.56,6.46,-3.42,21564.35,0.2,27.41,1.32,1.75,1.02,1286,50.61
1203,味王,40.75,41.5,40.75,-1.8,-4.23,27,23.08,-12,0,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,23.97,437.7,-5.83,-12.21,5340.21,0.49,34.47,2.41,2.45,0.01,6,24
1210,大成,52.8,52.9,52.8,-0.1,-0.19,1906,50.77,152,-4,-33,115,1122,926,196,0.1,584,702,0,0,118,0.36,0.06,279,355,-76,531,652,-121,13.37,9098.46,-1.21,4.32,103978.56,0.94,14.07,2.77,5.68,0.85,1909,89.48
1213,大飲,8.39,8.55,8.54,-0.36,-4.04,9,44.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,--,25.4,8.92,0.97,308.55,-0.37,-2,-3.29,0,--,0,5.66
1215,卜蜂,141.5,142,141.5,1.5,1.07,1844,72.91,-425,-151,234,-342,1432,1095,337,0.18,1413,1413,0,0,0,0.75,0,163,217,-54,296,578,-282,15.25,2316.77,-7.75,-2.92,28841.27,1.26,17.75,3.12,4.95,0.37,276,29.48
1216,統一,74.6,74.7,74.7,-1,-1.32,10441,41.13,-1675,-1,167,-1509,8218,8866,-648,-0.06,-8160,335,136,199,8432,0.04,0.82,660,516,144,1660,1157,503,20.19,57480.11,0.18,2.26,679885.44,1.15,33.78,4.5,4.02,0.07,1011,568.2
1217,愛之味,9.33,9.36,9.33,-0.17,-1.79,749,39.89,-18,0,0,-18,0,0,0,0,0,0,0,0,0,0,0,67,165,-98,722,624,98,19.44,396.67,3.15,5.27,5036.36,-0.13,26.35,-0.76,2.68,1.01,1252,49.45
1218,泰山,18.4,18.45,18.4,-0.05,-0.27,458,35.2,-18,0,0,-18,0,77,-77,-0.17,-77,0,0,0,77,0,0.17,31,145,-114,434,243,191,12.27,844.39,-3.2,6.37,10321.74,0.32,17.14,1.24,7.17,1.29,1614,50
1219,福壽,12.5,12.55,12.5,-0.3,-2.34,971,21.05,81,0,-28,53,0,376,-376,-0.38,-376,0,0,0,376,0,0.38,56,165,-109,927,442,485,26.6,1221.79,-6.3,1.21,14422.57,0.11,7.81,-0.08,4,1.56,1333,34.12
1220,台榮,11.95,12.05,12,0,0,133,40.62,-8,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,48,-48,183,135,48,600,300.8,15.5,12.86,3425.29,-0.17,7.79,-0.98,1.67,2.58,1144,17.71
1225,福懋油,28.8,28.85,28.8,-0.45,-1.54,209,28.23,-32,0,-86,-118,0,41,-41,-0.19,-41,0,0,0,41,0,0.19,20,0,20,195,174,21,16.84,1110.18,2.92,8.99,12346.23,0.44,9.3,2.82,3.47,11.79,7138,24.23
1227,佳格,28.3,28.35,28.3,-0.2,-0.7,865,26.31,-443,0,0,-443,140,208,-68,-0.08,-208,0,0,0,208,0,0.24,110,201,-91,633,474,159,19.52,1931.5,-8.11,-4.84,28668.11,0.52,23.44,2.51,4.73,0.46,1057,91.51
1229,聯華,38.8,38.85,38.8,-0.65,-1.65,4170,45.22,-95,0,-59,-154,1448,2408,-960,-0.22,-2408,0,0,0,2408,0,0.56,362,556,-194,2495,1342,1153,14.98,604.37,-35.18,-45.4,13275.29,0.55,23.32,1.33,5.15,0.63,2849,179.6
1231,聯華食,86,86.2,86,0.5,0.58,350,57.97,58,0,0,58,60,75,-15,-0.04,-37,18,0,0,55,0.05,0.15,108,63,45,211,241,-30,19.55,1007.99,3.52,1,13099.76,1,21.66,4,2.91,0.35,264,29.85
1232,大統益,148,148.5,148,-0.5,-0.34,40,19.44,-22,0,-3,-25,0,15,-15,-0.34,-7,0,0,0,7,0,0.16,5,13,-8,39,16,23,17.11,1890.2,-6.41,3.12,22067.12,2.33,13.69,6.17,4.86,0.01,4,16
1233,天仁,28.7,28.75,28.7,-0.1,-0.35,17,6.67,-6,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,35,173.25,-1.37,2.59,2192.37,0.34,61.08,2.21,0.7,0.25,57,9.06
1234,黑松,33.35,33.4,33.4,-0.35,-1.04,320,19.24,-84,0,0,-84,0,67,-67,-0.2,-67,0,0,0,67,0,0.2,0,63,-63,332,202,130,19.88,685.65,-5.88,-14.24,9495.82,0.29,23.95,0.62,4.94,0.02,24,40.19
1235,興泰,38.85,39.35,38.85,-0.75,-1.89,11,45.45,-4,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,--,14.86,-45.08,3.02,214.7,-0.54,28.55,-4.06,2.57,1.72,810,18.86
