代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
4174,浩鼎,28.6,28.8,28.6,-0.55,-1.89,302,50.68,93,0,0,93,0,0,0,0,0,0,0,0,0,0,0,25,0,25,282,307,-25,--,3.45,30.71,-32.81,48,-3.35,-497.41,-20.28,0,4.26,1402,13.16
4175,杏一,53,53.1,53,-1.1,-2.03,28,53.57,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,17.21,644.4,-5.53,3.57,8019.38,0.43,33.47,1.16,5.66,0.3,32,4.23
4178,永笙-KY,18.35,18.4,18.35,-0.5,-2.65,457,48.34,-11,0,-2,-13,65,65,0,0,-65,0,0,0,65,0,0.14,0,40,-40,397,357,40,--,32.67,17.61,29.7,--,-0.19,27.68,-2.13,0,--,0,21.59
4183,福永生技,12.85,13.9,13.75,-0.05,-0.36,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,--,28.3,49.98,-22.56,434.65,-0.52,15.27,-4.47,0,--,0,2.38
4188,安克,10.4,10.5,10.5,-0.4,-3.67,41,81.08,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,--,2.18,-18.67,-8.74,29.75,-0.21,48.76,-2.76,0,--,0,6.33
4190,佐登-KY,24.8,24.9,24.9,-2.35,-8.62,299,28.85,-107,0,-5,-112,0,53,-53,-0.16,-53,0,0,0,53,0,0.16,26,20,6,306,259,47,--,179.9,-13.88,5.22,2227.89,-0.26,65.46,-0.96,2.01,2.4,369,6.14
4192,杏國,20.1,21.15,21.1,0.4,1.93,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,--,1.92,-9.08,-18.62,27.34,-0.37,64.05,-5.43,0,--,0,3.52
4198,欣大健康,34.95,37.5,--,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,--,8.47,-35.2,-38.53,172.69,-0.39,36.4,-3.5,0,--,0,2.41
4205,中華食,72.4,72.5,72.4,-0.9,-1.23,52,34.62,-6,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,14,-14,56,42,14,17.66,167.11,-0.97,6,2074.35,0.89,36.33,3.66,4.83,0.01,2,9.76
4207,環泰,19.6,19.65,19.65,0.1,0.51,315,68.42,61,0,0,61,75,68,7,0.02,7,0,75,68,0,0.23,0.21,0,0,0,245,252,-7,9.97,477.79,-3.77,5.63,5289.69,0.49,20.07,3.36,6.11,2.02,1001,19.85
4303,信立,46.25,46.3,46.3,-2,-4.14,836,54.59,150,0,-2,148,0,120,-120,-0.14,-120,0,0,0,120,0,0.14,91,28,63,759,702,57,14.84,96.35,2.08,23.25,1009.77,-0.48,19.53,-1.23,10.8,35.1,8302,9.46
4304,勝昱,24.7,27.45,24.7,-1.65,-6.26,61,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,-22,61,39,22,--,31.6,-32.49,-3.95,346.32,-0.13,14.08,-2.6,0,--,0,6.1
4305,世坤,43.55,44.1,43.85,0.15,0.34,13,23.08,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,11.33,87.98,-15.06,-18.3,1051.62,1.13,33.92,4.85,7.07,0.02,3,5.5
4306,炎洲,14.95,15,14.95,0,0,2344,48.57,166,0,0,166,227,160,67,0.03,-3,0,157,160,0,0.07,0.07,534,393,141,1600,1809,-209,40.41,1283.9,3.4,24.04,13793.61,0.24,17.04,1.36,4.68,2.1,3545,67.68
4401,東隆興,13.75,13.9,13.9,-0.05,-0.36,212,63.24,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,38,-38,213,175,38,19.31,348.23,1.75,1.32,3841.33,0.16,8.22,0.72,4.32,2.07,636,12.27
4402,郡都開發,14.6,14.65,14.65,1.3,9.74,302,76.21,-42,0,-1,-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,307,0,--,1.96,36.99,-15.17,21.46,-0.05,9.18,-0.62,0,--,0,6.8
4406,新昕纖,9.8,9.89,9.8,-0.02,-0.2,2,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,--,9.91,-20.13,-79.26,348,-0.32,-6.05,-2.7,0,2.79,362,5.19
4413,飛寶企業,16.4,17,--,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,18.01,60.54,196.58,-28.33,826.31,0.15,21.88,1.33,1.79,14.94,387,3.13
4414,如興,8.72,8.74,8.72,0.22,2.59,952,58.56,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,962,0,--,1215.79,22.13,0.01,14039.81,-1.2,15.54,-7.11,1.26,1.42,759,26.38
4416,三圓,11.1,11.25,11.25,-0.25,-2.17,182,55.62,-30,0,-16,-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,183,0,14.06,7.51,-98.79,-8.53,2128.27,0.23,45.88,0.96,0,1.48,272,7.36
4417,金洲,45.6,45.65,45.6,-0.6,-1.3,124,20.34,-32,0,0,-32,0,0,0,0,0,0,0,0,0,0,0,0,24,-24,125,101,24,7.84,291.95,35.8,2.22,3370.88,0.83,30.46,2.12,7.68,0.47,98,8.4
4419,皇家美食,45.6,46.2,45.6,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-15,20,5,15,--,229.5,-0.61,-2.5,2677.15,-0.27,29.7,-2.48,0,--,0,16.92
