代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,24.5,24.55,24.55,-0.15,-0.61,29268,50.99,-13939,-14,-93,-14046,22883,23715,-832,-0.03,-22879,483,0,0,23362,0.02,0.79,1157,1374,-217,5366,4319,1047,--,12213.2,-1.61,-3.69,148481.34,0.1,18.72,0.4,3.26,1.71,32218,752.32
1102,亞泥,35.2,35.25,35.2,-0.1,-0.28,13217,59.58,-1808,-437,-256,-2501,12033,11560,473,0.04,6875,6909,5005,4876,163,0.9,0.38,418,605,-187,788,1074,-286,11.81,5694.46,6.45,-9.27,68693.16,0.56,13,0.89,6.53,0.16,1412,354.66
1103,嘉泥,13.05,13.1,13.05,-0.15,-1.14,427,13.19,-159,0,-12,-171,0,0,0,0,0,0,0,0,0,0,0,51,150,-99,394,295,99,19.77,207.62,-14.46,-23.55,2887.3,0.08,21.15,0.27,4.21,2.06,4073,79.02
1104,環泥,27.9,28,27.9,-0.15,-0.53,615,23.23,-347,-4,-49,-400,0,138,-138,-0.22,-93,0,0,0,93,0,0.15,83,67,16,551,429,122,10.9,635.96,9.5,-8.98,7689.7,0.76,23.22,7.29,6.63,0.59,1014,68.67
1108,幸福,13.95,14,13.95,-0.15,-1.06,492,34.52,-162,0,0,-162,0,0,0,0,0,0,0,0,0,0,0,0,177,-177,496,319,177,6.91,322.87,-6.92,-21.38,4130.96,0.17,16.14,1.23,7.17,0.77,784,40.47
1109,信大,15.15,15.2,15.2,-0.2,-1.3,905,41.01,-131,0,-7,-138,230,256,-26,-0.03,-256,0,0,0,256,0,0.28,110,326,-216,582,340,242,19.24,340.19,8.34,-21.62,4203.15,0.01,6.23,-0.15,5.92,0.47,400,34.12
1110,東泥,14.2,14.4,14.4,0,0,271,48.69,-114,0,-1,-115,0,0,0,0,0,0,0,0,0,0,0,36,0,36,237,273,-36,40,237.55,5.8,-10.21,2666.66,0.07,15.03,2.38,2.08,1.93,2764,57.2
1201,味全,12.15,12.25,12.15,-0.1,-0.82,438,48.37,46,0,-7,39,0,100,-100,-0.22,-100,0,0,0,100,0,0.22,80,60,20,369,289,80,31.15,1793.56,6.46,-3.42,21564.35,0.2,27.41,1.32,1.73,1.09,1385,50.61
1203,味王,42.6,42.9,42.65,-0.2,-0.47,27,57.69,-8,0,-2,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,25.09,437.7,-5.83,-12.21,5340.21,0.49,34.47,2.41,2.34,0.01,6,24
1210,大成,52.6,52.7,52.6,0.3,0.57,1712,53.44,260,-104,-40,116,1133,953,180,0.1,1133,1133,0,0,0,0.65,0,103,229,-126,498,553,-55,12.99,9098.46,-1.21,4.32,103978.56,1.66,14.68,12.25,5.7,0.83,1850,89.48
1213,大飲,8.6,8.89,8.95,0.25,2.87,8,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,--,25.4,8.92,0.97,308.55,-0.37,-2,-3.29,0,--,0,5.66
1215,卜蜂,138,139,138.5,3,2.21,1636,74.37,-446,220,35,-191,1314,862,452,0.27,1314,1314,0,0,0,0.79,0,124,243,-119,234,568,-334,14.92,2316.77,-7.75,-2.92,28841.27,1.26,17.75,3.12,5.05,0.38,278,29.48
1216,統一,74.8,74.9,74.8,-0.4,-0.53,12300,36.85,2395,-1483,79,991,11240,9763,1477,0.12,3902,3384,7753,7088,147,0.9,0.58,351,824,-473,797,1801,-1004,20.22,57480.11,0.18,2.26,679885.44,1.15,33.78,4.5,4.01,0.09,1224,568.2
1217,愛之味,9.61,9.62,9.61,-0.04,-0.41,433,38.15,-244,0,-7,-251,0,0,0,0,0,0,0,0,0,0,0,0,71,-71,447,376,71,20.02,396.67,3.15,5.27,5036.36,-0.13,26.35,-0.76,2.6,1.7,2096,49.45
1218,泰山,18.75,18.8,18.75,-0.15,-0.79,397,29.23,-164,0,-3,-167,0,67,-67,-0.17,-67,0,0,0,67,0,0.17,0,27,-27,405,311,94,12.1,844.39,-3.2,6.37,10321.74,0.52,17.59,6.03,7.04,1.23,1541,50
